number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
0,0.5357862512429249,2024-12-18 23:47:51.288498,2024-12-18 23:47:51.389369,0 days 00:00:00.100871,kmeans,abundance,1.8,3,COMPLETE
1,0.4715475409661783,2024-12-18 23:47:51.391004,2024-12-18 23:47:51.484895,0 days 00:00:00.093891,kmeans,abundance,2.1,5,COMPLETE
2,0.40877554612695,2024-12-18 23:47:51.486245,2024-12-18 23:47:51.642096,0 days 00:00:00.155851,kmeans,abundance,0.1,10,COMPLETE
3,0.5856306178251075,2024-12-18 23:47:51.643350,2024-12-18 23:47:51.737246,0 days 00:00:00.093896,kmeans,abundance,2.1,3,COMPLETE
4,0.3729024119671009,2024-12-18 23:47:51.738454,2024-12-18 23:47:51.865023,0 days 00:00:00.126569,kmeans,abundance,0.2,4,COMPLETE
5,0.4947552044193026,2024-12-18 23:47:51.866234,2024-12-18 23:47:51.959466,0 days 00:00:00.093232,kmeans,abundance,2.2,10,COMPLETE
6,0.6337513093241742,2024-12-18 23:47:51.960798,2024-12-18 23:47:52.070514,0 days 00:00:00.109716,kmeans,abundance,0.4,8,COMPLETE
7,0.5825935548714498,2024-12-18 23:47:52.071739,2024-12-18 23:47:52.170501,0 days 00:00:00.098762,kmeans,abundance,1.3,3,COMPLETE
8,0.5480440099208699,2024-12-18 23:47:52.171626,2024-12-18 23:47:52.271090,0 days 00:00:00.099464,kmeans,abundance,1.1,9,COMPLETE
9,0.562976007603108,2024-12-18 23:47:52.272290,2024-12-18 23:47:52.368684,0 days 00:00:00.096394,kmeans,abundance,1.8,5,COMPLETE
10,0.5188140600185497,2024-12-18 23:47:52.369898,2024-12-18 23:47:52.481727,0 days 00:00:00.111829,kmeans,abundance,0.6000000000000001,7,COMPLETE
11,0.6553545337400336,2024-12-18 23:47:52.483063,2024-12-18 23:47:52.587917,0 days 00:00:00.104854,kmeans,abundance,2.5,7,COMPLETE
12,0.4630363581767382,2024-12-18 23:47:52.589044,2024-12-18 23:47:52.704621,0 days 00:00:00.115577,kmeans,abundance,0.8,7,COMPLETE
13,0.5590220852774356,2024-12-18 23:47:52.705951,2024-12-18 23:47:52.813152,0 days 00:00:00.107201,kmeans,abundance,1.3,8,COMPLETE
14,0.506215447740891,2024-12-18 23:47:52.814500,2024-12-18 23:47:52.931635,0 days 00:00:00.117135,kmeans,abundance,0.6000000000000001,7,COMPLETE
15,0.5395644559539221,2024-12-18 23:47:52.932963,2024-12-18 23:47:53.037009,0 days 00:00:00.104046,kmeans,abundance,2.5,8,COMPLETE
16,0.5243767219343817,2024-12-18 23:47:53.038311,2024-12-18 23:47:53.144839,0 days 00:00:00.106528,kmeans,abundance,1.6,6,COMPLETE
17,0.45836276554776373,2024-12-18 23:47:53.146167,2024-12-18 23:47:53.268494,0 days 00:00:00.122327,kmeans,abundance,0.4,9,COMPLETE
18,0.5143492415945429,2024-12-18 23:47:53.269719,2024-12-18 23:47:53.379628,0 days 00:00:00.109909,kmeans,abundance,0.9,6,COMPLETE
19,0.21754586256593544,2024-12-18 23:47:53.380873,2024-12-18 23:47:54.173248,0 days 00:00:00.792375,kmeans,abundance,0.0,8,COMPLETE
20,0.6225905232401049,2024-12-18 23:47:54.174634,2024-12-18 23:47:54.285145,0 days 00:00:00.110511,kmeans,abundance,2.4000000000000004,9,COMPLETE
21,0.5181377375500175,2024-12-18 23:47:54.286503,2024-12-18 23:47:54.389201,0 days 00:00:00.102698,kmeans,abundance,2.5,9,COMPLETE
22,0.5581609076586554,2024-12-18 23:47:54.390525,2024-12-18 23:47:54.494191,0 days 00:00:00.103666,kmeans,abundance,2.3000000000000003,8,COMPLETE
23,0.551692983165931,2024-12-18 23:47:54.495499,2024-12-18 23:47:54.601121,0 days 00:00:00.105622,kmeans,abundance,1.6,9,COMPLETE
24,0.5425602272143831,2024-12-18 23:47:54.602434,2024-12-18 23:47:54.705464,0 days 00:00:00.103030,kmeans,abundance,1.9000000000000001,7,COMPLETE
25,0.58187032866542,2024-12-18 23:47:54.706790,2024-12-18 23:47:54.811124,0 days 00:00:00.104334,kmeans,abundance,2.5,5,COMPLETE
26,0.6322517249657055,2024-12-18 23:47:54.812445,2024-12-18 23:47:54.920327,0 days 00:00:00.107882,kmeans,abundance,1.5,10,COMPLETE
27,0.4475535200450023,2024-12-18 23:47:54.921672,2024-12-18 23:47:55.029993,0 days 00:00:00.108321,kmeans,abundance,1.5,10,COMPLETE
28,0.5480493130884061,2024-12-18 23:47:55.031331,2024-12-18 23:47:55.143017,0 days 00:00:00.111686,kmeans,abundance,0.9,2,COMPLETE
29,0.5363114938274377,2024-12-18 23:47:55.144359,2024-12-18 23:47:55.255816,0 days 00:00:00.111457,kmeans,abundance,1.1,6,COMPLETE
30,0.5841785319130329,2024-12-18 23:47:55.257160,2024-12-18 23:47:55.359038,0 days 00:00:00.101878,kmeans,abundance,1.9000000000000001,10,COMPLETE
31,0.5021809710377968,2024-12-18 23:47:55.360379,2024-12-18 23:47:55.468848,0 days 00:00:00.108469,kmeans,abundance,2.2,9,COMPLETE
32,0.5701226844013434,2024-12-18 23:47:55.470185,2024-12-18 23:47:55.575920,0 days 00:00:00.105735,kmeans,abundance,2.3000000000000003,8,COMPLETE
