Gene	Mean_Difference	p_value	p_adj
K03088	-3641.032171957761	1.7845005299266848e-23	3.1389364321410385e-20
K10773	546.7376752683385	2.2048223818571015e-21	3.878282569686642e-18
K04767	182.9996771376819	6.011159566052038e-20	1.0573629676685535e-16
K01950	-803.1581426880535	2.4855574722966654e-19	4.3720955937698343e-16
K08217	-649.1015786583134	2.6195392988950263e-19	4.607769626756352e-16
K16212	-564.9610462609771	6.119019366410587e-18	1.0763355065516223e-14
K14652	-1172.1143338495658	3.1389299339215026e-17	5.521377753767923e-14
K00606	-824.9091004318607	5.200256337055261e-17	9.147250896880205e-14
K00099	-858.1089526728106	9.412713819084118e-17	1.6556963607768963e-13
K02622	737.6277434810858	1.0183541663097441e-16	1.79128497853884e-13
K02864	1230.4575481050567	1.2024834780388971e-16	2.1151684378704202e-13
K01579	-1061.1755841688546	1.4566699190210561e-16	2.5622823875580376e-13
K02760	434.99935160173027	1.5739986062477577e-16	2.7686635483898056e-13
K01190	-796.411612005272	1.619802199343232e-16	2.849232068644745e-13
K09458	-1165.3519705617773	2.084272314557044e-16	3.6662350013058403e-13
K06287	-1130.8841975232258	3.70715799139724e-16	6.520890906867746e-13
K18785	-654.3873527520384	4.4400599307030844e-16	7.810065418106726e-13
K19285	114.58031871736853	5.098958906013212e-16	8.96906871567724e-13
K01546	-557.0046019920883	6.795360253681032e-16	1.1953038686224936e-12
K01945	375.3748717652718	9.86419190223355e-16	1.7351113556028815e-12
K18332	-281.77716108414825	1.0019461885117444e-15	1.7624233455921585e-12
K02440	556.697391404105	2.5466359308257834e-15	4.479532602322553e-12
K01912	-927.6979064504764	2.745142020991268e-15	4.82870481492364e-12
K02122	300.9487984549518	3.034124251957858e-15	5.337024559193872e-12
K19312	-699.3386868672559	4.989470898472733e-15	8.776479310413538e-12
K06179	145.90637676483027	8.47531446600872e-15	1.490807814570934e-11
K00957	-726.8548778124975	1.0569072734623352e-14	1.8590998940202476e-11
K09692	128.6448135360836	1.810473033412459e-14	3.1846220657725156e-11
K01524	291.8445681618334	2.0209616973923688e-14	3.554871625713177e-11
K01647	459.38269742315697	2.2571929723410528e-14	3.970402438347912e-11
K22373	226.1549263349885	2.5037455619086556e-14	4.4040884433973255e-11
K10206	-1150.8421381896085	2.5931772558641455e-14	4.561398793065032e-11
K04488	-978.2276316189999	4.689589020176638e-14	8.248987086490706e-11
K09014	1333.5313143998105	5.709455867253526e-14	1.0042932870498953e-10
K03892	103.28566893261929	6.72439113330276e-14	1.1828204003479555e-10
K04041	-658.6231412287234	8.314083545125076e-14	1.462447295587501e-10
K07175	-284.88651234936276	8.619467964293444e-14	1.516164414919217e-10
K01548	-539.7516547449122	1.3831416812036876e-13	2.4329462172372864e-10
K03496	-1629.9414865084632	2.3456889568924563e-13	4.1260668751738306e-10
K01686	-715.3494338706806	2.9368095598856616e-13	5.165848015838879e-10
K01805	-460.4756457866024	3.752539821904263e-13	6.600717546729599e-10
K01129	-832.3230957959115	3.9896161716942483e-13	7.017734846010183e-10
K05606	-438.774412572166	5.679924049730111e-13	9.990986403475266e-10
K15532	-283.7943903050251	5.74324283210812e-13	1.0102364141678183e-09
K03568	278.34221238096154	5.77085776918888e-13	1.015093881600324e-09
K06997	-659.4993646995837	8.827145733567452e-13	1.5526949345345148e-09
K17320	-612.5370904562787	9.06981052381077e-13	1.5953796711383144e-09
