number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
0,0.186093584792725,2024-12-18 23:39:11.107212,2024-12-18 23:39:11.722801,0 days 00:00:00.615589,kmeans,presence,45,5,COMPLETE
1,0.19661896846015534,2024-12-18 23:39:11.724208,2024-12-18 23:39:12.235665,0 days 00:00:00.511457,kmeans,presence,90,2,COMPLETE
2,0.10672871779885883,2024-12-18 23:39:12.237068,2024-12-18 23:39:12.786344,0 days 00:00:00.549276,kmeans,presence,80,10,COMPLETE
3,0.16463476762388088,2024-12-18 23:39:12.787735,2024-12-18 23:39:13.357721,0 days 00:00:00.569986,kmeans,presence,55,4,COMPLETE
4,0.11351404350186196,2024-12-18 23:39:13.359206,2024-12-18 23:39:13.804095,0 days 00:00:00.444889,kmeans,presence,120,2,COMPLETE
5,0.20997791150276254,2024-12-18 23:39:13.805493,2024-12-18 23:39:14.386002,0 days 00:00:00.580509,kmeans,presence,45,6,COMPLETE
6,0.11565468769627223,2024-12-18 23:39:14.387499,2024-12-18 23:39:14.865088,0 days 00:00:00.477589,kmeans,presence,105,2,COMPLETE
7,0.1483225607858216,2024-12-18 23:39:14.866384,2024-12-18 23:39:15.352446,0 days 00:00:00.486062,kmeans,presence,105,6,COMPLETE
8,0.20392252507255207,2024-12-18 23:39:15.353807,2024-12-18 23:39:15.853334,0 days 00:00:00.499527,kmeans,presence,100,2,COMPLETE
9,0.18738356084310526,2024-12-18 23:39:15.854625,2024-12-18 23:39:16.347818,0 days 00:00:00.493193,kmeans,presence,110,10,COMPLETE
10,0.20180570107601561,2024-12-18 23:39:16.349123,2024-12-18 23:39:16.996637,0 days 00:00:00.647514,kmeans,presence,10,8,COMPLETE
11,0.10590145289351684,2024-12-18 23:39:16.997815,2024-12-18 23:39:17.581423,0 days 00:00:00.583608,kmeans,presence,30,8,COMPLETE
12,0.18746449716127864,2024-12-18 23:39:17.582769,2024-12-18 23:39:18.129969,0 days 00:00:00.547200,kmeans,presence,70,4,COMPLETE
13,0.2276749330646423,2024-12-18 23:39:18.131259,2024-12-18 23:39:18.695054,0 days 00:00:00.563795,kmeans,presence,30,7,COMPLETE
