,Bacteroides,Bifidobacterium,Phocaeicola,Fusicatenibacter,Roseburia,Hominilimicola,Blautia,Faecalibacterium,GGB4605,Ruminococcus,Anaerostipes,Collinsella,Agathobacter,Alistipes,GGB3612,Faecalibacillus,Dorea,Simiaoa,Hominenteromicrobium,Mediterraneibacter,Waltera,Parabacteroides,Candidatus Cibionibacter,Streptococcus,Escherichia,Coprococcus,Clostridium,Agathobaculum,Anaerobutyricum,Ruthenibacterium,Anaerotignum,Phascolarctobacterium,Eubacterium,Odoribacter,Lentihominibacter,Flavonifractor,Gallintestinimicrobium,Dysosmobacter,Lachnospira,Thomasclavelia,Veillonella,Haemophilus,Intestinibacter,Enterococcus,GGB51491,Actinomyces,Prevotella,Segatella,GGB3277,GGB4585,GGB4710,GGB4266,GGB3345,Holdemanella,Catenibacterium,Sarcina,Paratractidigestivibacter,Anthropogastromicrobium,GGB4564,Oscillibacter,Oliverpabstia,GGB4644,GGB82047,Pseudoflavonifractor,Vescimonas,GGB3862,Leyella,GGB9730,GGB51647,Butyricicoccus,GGB3118,GGB58067,GGB3478,GGB4604,GGB4682,GGB9642,GGB9715,GGB1495,GGB9627,GGB3636,GGB81330,GGB9634,Ellagibacter,GGB1239,GGB4552,Romboutsia,GGB9737,GGB51431,Slackia,GGB101072,GGB99810,GGB3189,Ligilactobacillus,GGB2983,GGB143455,GGB3256,GGB4642,GGB35068,GGB4723,Senegalimassilia,GGB9712,GGB3429,GGB9760,GGB9766,GGB49409,GGB4704,GGB9603,GGB4888,GGB9370,Pilosibacter,Faecalicatena,GGB9708,Rothia,GGB9290,GGB3588,GGB13404,Eshraghiella,Parolsenella,GGB9690,GGB9758,GGB9774,GGB9790,GGB4456,GGB1247,GGB3304,GGB3730,GGB9380,GGB4672,GGB9759,GGB115571,Jutongia,Mogibacterium,GGB9590,Akkermansia,GGB34797,GGB3109,GGB4611,Brotocaccenecus,GGB4591,Methanobrevibacter,GGB3623,GGB1627,GGB3306,GGB9342,GGB4699,GGB9691,GGB9677,GGB9636,GGB9602,GGB31460,GGB143497,GGB3653,Kineothrix,GGB9707,GGB4603,GGB9699,GGB13493,GGB4578,GGB1266,GGB4684,Wujia,GGB3619,GGB9747,GGB9293,GGB3321,GGB82668,GGB9618,GGB4584,GGB2958,GGB9778,GGB9608,GGB49418,GGB49284,GGB9786,GGB34228,Butyricimonas,GGB9302,GGB74412,GGB9383,GGB4884,GGB9767,Paraprevotella,Barnesiella,GGB9502,Bilophila,Hominiventricola,Holdemania,Lawsonibacter,GGB9522,GGB4599,Phoenicibacter,GGB9420,GGB9347,Treponema,GGB9762,GGB9345,GGB9787,Hominifimenecus,GGB9189,otros
36703_3#10,32.43933,11.20012,10.17307,6.61526,5.25075,4.15566,3.92776,3.5588300000000004,3.3924199999999995,2.86484,2.33469,2.11926,1.52041,0.98661,0.85956,0.8292299999999999,0.82826,0.81906,0.65346,0.6472600000000001,0.44788,0.43081,0.3276199999999999,0.3146,0.26189,0.2596199999999999,0.25918,0.16865,0.15158,0.12563,0.10137,0.10102,0.08082,0.073,0.07289,0.03738,0.03673,0.0363,0.0233,0.01931,0.01267,0.00615,0.00456,0.00435,0.0039,0.00125,0.0009199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4607800000000295
36703_3#12,0.0,2.08148,0.0,1.63042,2.77936,0.02314,2.39343,13.65037,0.0,11.70037,0.0,0.25045,4.57066,0.0,0.04337,0.0615299999999999,2.87555,0.16374,0.08042,1.74171,0.0,0.0,0.09199,0.38998,1.23238,2.30802,2.8544,1.13901,0.0527299999999999,0.0,0.01772,0.0,1.10833,0.0,0.0096,0.0,0.34384,0.0,0.05993,0.0,0.11157,0.15788,0.02986,0.05385,0.0,0.0,0.12434,4.06723,2.87026,2.5188200000000003,2.47851,2.1372400000000003,1.55788,1.16552,1.08249,0.64552,0.5949300000000001,0.5646899999999999,0.51981,0.47728,0.45779,0.40794,0.40119,0.3861699999999999,0.38589,0.35015,0.33799,0.3328,0.31478,0.30344,0.2927,0.27013,0.2685099999999999,0.26239,0.26066,0.23242,0.20599,0.19102,0.15885,0.14257,0.14202,0.1401099999999999,0.12795,0.1265099999999999,0.11739,0.11212,0.10435,0.10131,0.08645,0.07254,0.07161,0.06286,0.0571,0.04956,0.04672,0.03977,0.03778,0.03342,0.03326,0.0303,0.02873,0.02779,0.0246,0.02446,0.02429,0.02376,0.02335,0.0222,0.0194699999999999,0.01678,0.0157199999999999,0.0155,0.01254,0.01177,0.00759,0.0072,0.00654,0.00579,0.00542,0.00446,0.00271,0.00235,0.00095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.297910000000037
36703_3#13,0.01499,1.26326,0.0,0.0559799999999999,3.73623,0.0,0.4637199999999999,20.11008,0.0,6.1414800000000005,0.0,0.11553,7.22302,0.0,0.12005,0.03829,0.2479199999999999,3.43522,0.0,0.3609199999999999,0.75466,0.0,0.0,0.36062,0.0072,0.99556,1.75433,0.37188,0.00902,0.0,0.0,0.47772,0.75342,0.0,0.0,0.0076599999999999,0.22559,0.07482,0.7514,0.0,0.0550299999999999,0.54142,0.05466,0.0,0.00015,0.0,1.52065,22.62537,0.0,0.0,0.0,2.99684,0.0,0.1629,0.33635,0.0,0.49354,0.08188,0.0,0.10561,0.0,0.74453,0.0,0.0,0.0,0.0,0.69124,0.16317,0.0,0.0,0.13472,0.01511,0.05657,0.06803,0.0,0.0,0.0,0.69971,0.0,0.0,0.24384,0.0,0.00514,0.34979,0.0,0.05944,0.0,0.0,0.01081,0.0,0.00483,0.0,0.0,0.0,0.1477,0.0,0.07303,0.0,0.0,0.02448,0.0,0.01219,0.03826,0.03261,0.0,0.0,0.0,0.0558899999999999,0.0,0.11399,0.03281,0.50045,0.00433,0.0,0.0,0.01704,0.0,0.01622,0.0,0.0,0.0,0.0,0.1137799999999999,1.03946,0.18392,0.17107,0.118,0.07993,0.05023,0.02648,0.02468,0.0141,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.00365
36703_3#14,0.01129,3.93269,0.02558,0.3247,0.16471,0.08696,1.64632,0.5079600000000001,0.08947,2.75049,0.0,0.87849,0.5037,0.0,0.0,0.1245,1.12071,0.01047,0.0641299999999999,0.63855,0.0,0.0,0.0786,5.61198,0.03938,0.67956,8.49729,0.0651,0.1741,0.0,0.0,0.03475,0.017,0.0,0.02136,0.0,0.00126,0.0,0.0,0.0,0.0,0.0962399999999999,0.19712,0.0,0.0,0.24658,0.0,33.00639,0.0,0.0,0.0,0.0,0.0,3.8822,2.02621,1.88083,0.0,0.04874,0.0,0.0,0.83585,0.0,0.0,0.0,0.0,0.0,1.7153,0.6008399999999999,0.03535,0.0117,0.0,0.0,0.0019,0.0087099999999999,0.01436,0.0746,0.0,0.0039,0.0,0.0,0.0,0.0,1.02022,1.15128,0.0,2.61369,0.0,0.0,0.73619,0.0,0.0,0.0,0.81301,0.0,0.0,0.0,0.0,0.0,0.0,1.61279,0.0,0.0600799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03411,0.0,0.1565099999999999,0.0,0.0,0.0,0.03413,0.0,0.0,0.0,0.0,0.0,0.09116,0.0,0.0,0.0,0.0,0.0,0.00232,0.00164,0.0,0.0,0.0,0.30129,0.2116199999999999,0.0598,0.04348,0.0009199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26784000000001
36703_3#15,0.0,14.90514,0.0,0.6066,0.09425,1.44976,3.14182,0.48589,0.10213,4.45759,0.72224,1.56355,44.21785,0.0,0.0,0.44355,0.8797299999999999,0.0,0.20863,0.33402,0.0,0.0,1.38969,2.42148,0.0,0.4331399999999999,3.36345,0.0,0.1611,0.0,0.0,0.0,0.03961,0.0,0.01063,0.0,0.02298,0.0,0.00326,0.0112,0.0,0.0,0.0544399999999999,0.0,0.0012699999999999,0.04446,0.0,0.40062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29717,0.0,0.0024,0.0,0.0,0.45374,0.0,0.0,0.0,0.02805,0.0,0.0,4.88791,0.0,0.0,0.0,0.0,0.0,0.0,0.20828,0.0,0.06127,0.0,0.0057799999999999,0.0,0.0,0.0,0.0,0.0,0.0041,0.58985,0.0,0.0,1.54565,0.0,0.01986,0.0,0.02355,0.0,0.0,2.49404,1.49021,0.0,0.0,0.0,0.0,0.0,0.2309699999999999,0.0,0.05215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946299999999999,0.0,0.04478,0.0,0.0,0.0,0.0,0.0,0.0,0.00995,0.07671,0.0,0.0,0.0,0.0,0.0,0.13448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854610000000022
36703_3#16,0.02362,1.52979,0.0,0.19066,0.89946,0.0,0.30918,4.48351,0.0,8.43933,0.0,0.09879,3.35523,0.0143,0.20154,0.00326,0.18914,4.54985,0.09319,0.09175,0.62354,0.0101,0.12212,0.10496,0.00465,1.55651,0.9981,0.04887,0.08875,0.0,0.00458,0.00476,0.26466,0.0,0.01083,0.0,0.33462,0.31371,0.19537,0.0,0.1212,0.0206599999999999,0.0,0.02126,0.0,0.00511,0.18603,9.6502,0.604,0.02375,0.14413,2.43038,0.05537,0.23524,1.08037,0.0,0.0045,0.08208,0.1713599999999999,1.47584,0.0,0.28997,0.0,0.2631699999999999,0.23353,0.03318,0.24283,0.0985299999999999,1.54396,0.05685,0.04813,0.0149699999999999,0.00372,0.04147,0.71233,0.05046,1.82135,0.99674,0.08092,0.14226,0.93228,1.55391,0.0,0.08374,0.31251,0.0,0.08963,0.0027199999999999,0.0,0.0,0.01587,0.02847,0.0,0.01074,0.58922,0.0,0.18724,0.00244,0.02011,0.0,0.1164099999999999,0.01535,0.12412,0.08656,0.00031,0.0,0.25183,0.03796,0.0,0.0456,0.0,0.2818,0.10682,0.01721,0.0,0.13918,1.87439,0.02143,0.15971,0.2671699999999999,0.07274,0.06709,0.0,0.0,1.78332,0.01528,0.0115599999999999,0.02144,0.0225,0.15978,0.0,0.0,0.03472,0.0,0.0,0.0,0.0,0.1372799999999999,0.0,2.33541,1.6741700000000002,1.53611,1.2765799999999998,0.6190399999999999,0.6148399999999999,0.52451,0.46687,0.35452,0.29211,0.17977,0.15464,0.10664,0.10627,0.08902,0.06646,0.06539,0.06292,0.06238,0.05314,0.04571,0.04273,0.04033,0.03594,0.0264,0.02306,0.02197,0.02158,0.02098,0.01465,0.0138,0.01305,0.01055,0.01005,0.00775,0.00631,0.00281,0.00265,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.153460000000027
36703_3#17,0.0,1.08837,0.0,1.75835,0.05898,0.0,6.0595,7.946569999999999,0.01681,1.65044,0.05977,2.32658,0.02196,0.0,0.0,0.9824,2.76063,0.0,0.0593,0.2044,0.0,0.0,0.0,17.65514,0.08564,0.61828,5.86953,0.8297,1.27975,0.0,0.0,0.0,0.2019999999999999,0.0083299999999999,0.00057,0.0,0.02524,0.0,0.19313,0.0,0.19346,3.18919,0.16378,10.3386,0.00904,0.0,0.00197,4.66546,0.0,0.53049,0.0,0.0,0.06404,13.03427,0.0,0.0,0.0,0.5919300000000001,0.0,0.03876,0.10711,0.02351,0.0,0.0,0.18803,0.0,0.0,0.19848,0.7612899999999999,0.0,0.0278,0.07177,0.0,0.11482,0.0,0.1499599999999999,0.4259199999999999,0.0,0.19129,0.0,0.0,0.00847,0.0,0.0,0.26324,1.00957,0.0,0.0,0.09278,0.0,0.0308899999999999,0.0,0.0,0.0,0.0,0.04942,0.1751599999999999,0.0,0.0,0.19125,0.0,0.0,0.12917,0.0,0.00321,0.0,0.0,0.2233699999999999,0.08488,0.0,0.00887,0.0,0.18988,0.0,0.04903,0.0,0.0,0.0,0.0,0.0,0.0,0.00235,0.15674,0.0,0.0,0.0,0.0,0.0,0.0570899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.07511,0.0,0.0,0.0,0.0,0.00552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.256090000000011
36703_3#18,0.02509,6.47919,0.0,0.1300599999999999,0.62912,0.0,1.00155,35.75042,0.0227199999999999,2.10409,0.0,2.2601400000000003,0.4849199999999999,0.0,0.0,0.01406,2.66954,0.00146,0.00587,2.98369,0.0,0.0,0.80628,4.37784,1.30987,0.53442,0.8769,0.09354,0.0673,0.0,0.03305,0.0,0.00041,0.0,0.2463199999999999,0.0,0.09796,0.0,0.0,0.0,0.02319,1.7792400000000002,0.31488,0.0,0.0,0.38869,0.1136799999999999,2.0586900000000004,0.97285,0.16967,0.0,0.31225,0.0,7.129,3.5014300000000005,0.0,1.16205,0.08375,0.0,0.02785,0.33479,0.0,0.12962,0.03591,0.21821,0.0,0.23503,0.40771,0.54871,0.0,0.50148,0.0072,0.0,0.0,0.0,0.06506,0.50024,0.0,0.00616,0.0,0.04238,0.18204,0.37823,0.04444,0.0,2.11639,0.05326,0.0,0.15441,0.0,0.0,0.0,0.23979,0.0,0.0,0.06912,0.61485,0.0,0.0,0.0807799999999999,0.03549,0.0035,0.4457399999999999,0.05098,0.0,0.0,0.0,0.23751,0.02134,0.0,0.0,0.0,0.77198,0.0,0.0,0.0,0.0,0.45397,0.00143,0.01469,0.10676,0.12847,0.01876,0.0,0.0,0.00663,0.0,0.0,0.1240599999999999,0.0,0.0,0.12567,0.0,0.0,0.00787,0.0,0.0,0.0,0.0,0.0,0.0,0.01274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.0,0.0,0.06682,0.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01269,0.0,0.0,0.0,0.0,0.4999699999999999,0.22225,0.02513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.500020000000042
36703_3#19,0.00577,12.16547,0.02426,0.87529,1.14601,0.04075,3.27096,1.61802,0.0,1.85241,0.14957,0.0,0.94572,0.0,0.0,0.4645899999999999,8.260819999999999,0.23658,0.0,0.54092,0.0,0.0,6.13638,8.40756,0.35381,0.42927,1.47619,0.00215,1.28415,0.0,0.0,0.04793,0.0618,0.0,0.68828,0.0,0.01184,0.01272,0.0,0.0,0.0,0.08163,0.0007099999999999,15.27739,0.00086,0.04917,0.0,1.68585,0.0,0.0,0.00675,0.0,0.03854,0.0,0.0,0.97997,0.0,0.0,0.0,0.00316,0.00514,0.1440799999999999,0.0,0.0,0.0,0.0,0.0,11.37734,0.0,0.0,0.0,0.0,0.0,0.1028099999999999,0.0,0.0284,0.15888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754,0.15358,0.0,0.02048,1.58355,0.0,0.00037,0.0,0.6130800000000001,0.0,0.0,3.8708,0.0,0.00158,0.03243,0.03243,0.0,0.0,0.01725,0.0,0.0,0.0,0.0,0.0,0.6481399999999999,0.0,0.26434,0.0,0.01843,0.0,0.12961,0.0,0.0,0.0,0.0,0.00277,0.0,0.22823,0.02841,0.0,0.0,0.0,0.0,0.0,0.02323,0.0,0.0,0.02338,0.0,0.0,0.05372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03471,0.01545,0.0,0.0,0.0,0.0,0.0,0.01008,0.3529199999999999,0.05025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.243339999999971
36703_3#1,5.2695,0.0,5.29705,1.14165,5.99244,0.41767,0.89997,15.33335,0.0,1.22854,0.51645,0.41863,12.22228,1.97365,0.30401,0.3393,1.3484200000000002,0.04772,0.11902,2.81277,1.86601,0.91127,0.05602,0.01017,0.0,11.04408,1.09439,0.37998,0.0155,0.16624,0.98475,2.22441,3.47557,0.13323,0.15609,0.09543,0.1526,0.31988,2.46271,0.1647799999999999,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73275,0.0,2.89972,1.0378,0.0,0.0,0.15156,0.1416,0.0,2.94896,0.21675,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.52053,0.0,0.93808,0.0,0.02584,0.55423,0.0,0.0,0.0,0.02963,0.04676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002299999999999,0.0,0.0,0.0,0.0,0.08079,0.0,0.02274,0.0,0.05765,0.0,0.0,0.0,0.0,0.0624399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18432,0.0,0.0,0.0,0.03763,0.10504,0.0,0.0,0.0,1.18557,0.0,0.0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.0,0.0,0.00082,0.0,0.20814,0.0,0.1236299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04877,0.0,0.03076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.01958,0.0,1.33976,0.0,0.0,0.0,0.68787,0.1908099999999999,0.06994,0.05186,0.0401399999999999,0.01932,0.00627,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5967799999999843
