,Bacteroides,Bifidobacterium,Phocaeicola,Fusicatenibacter,Roseburia,Hominilimicola,Blautia,Faecalibacterium,Ruminococcus,Anaerostipes,Collinsella,Agathobacter,Faecalibacillus,Dorea,Simiaoa,Hominenteromicrobium,Mediterraneibacter,Waltera,Candidatus Cibionibacter,Streptococcus,Escherichia,Coprococcus,Clostridium,Agathobaculum,Anaerobutyricum,Anaerotignum,Phascolarctobacterium,Eubacterium,Lentihominibacter,Gallintestinimicrobium,Dysosmobacter,Lachnospira,Haemophilus,Intestinibacter,Prevotella,Segatella,GGB4585,Holdemanella,Catenibacterium,Paratractidigestivibacter,Anthropogastromicrobium,Oscillibacter,Oliverpabstia,Pseudoflavonifractor,Vescimonas,Leyella,GGB9730,GGB51647,GGB4604,GGB9642,GGB9715,GGB9627,GGB81330,GGB9634,Ellagibacter,GGB4552,Romboutsia,Slackia,GGB3256,GGB4642,Senegalimassilia,GGB9760,GGB9766,GGB49409,Faecalicatena,GGB9708,GGB9758,GGB9790,GGB3304,GGB9759,Brotocaccenecus,Methanobrevibacter,GGB3653,Kineothrix,otros
36703_3#10,32.4392936,11.2000836,10.173033599999998,6.6152236,5.2507136,4.1556236,3.9277236,3.5587936000000004,2.8648036,2.3346536,2.1192236,1.5203736,0.8291935999999999,0.8282236,0.8190236,0.6534236,0.6472236,0.4478436,0.3275835999999999,0.3145636,0.2618536,0.2595835999999999,0.25914360000000003,0.1686136,0.1515436,0.1013336,0.10098359999999999,0.0807836,0.07285359999999999,0.0366936,0.0362636,0.023263600000000002,0.0061136,0.0045236,0.0008835999999998999,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,7.40763360000003
36703_3#12,5.879999999999999e-05,2.0814688,5.879999999999999e-05,1.6304087999999999,2.7793488,0.0231288,2.3934188,13.650358800000001,11.7003588,5.879999999999999e-05,0.2504388,4.5706488,0.061518799999999894,2.8755388,0.1637288,0.0804088,1.7416988,5.879999999999999e-05,0.0919788,0.3899688,1.2323688,2.3080088,2.8543888,1.1389988,0.0527187999999999,0.0177088,5.879999999999999e-05,1.1083188,0.0095888,0.3438288,5.879999999999999e-05,0.059918799999999994,0.1578688,0.0298488,0.1243288,4.0672188,2.5188088000000004,1.1655087999999998,1.0824787999999999,0.5949188000000001,0.5646787999999999,0.4772688,0.4577788,0.3861587999999999,0.3858788,0.3379788,0.3327888,0.3147688,0.2623788,0.2324088,0.20597880000000002,0.1588388,0.14200880000000002,0.1400987999999999,0.12793880000000002,0.11737879999999999,0.1121088,0.0864388,0.0397588,0.0377688,0.0302888,0.0245888,0.0244488,0.0242788,0.0157087999999999,0.0154888,0.0044488,0.0023388000000000003,5.879999999999999e-05,5.879999999999999e-05,5.879999999999999e-05,5.879999999999999e-05,5.879999999999999e-05,5.879999999999999e-05,31.58604880000001
36703_3#13,0.014966666666666666,1.2632366666666668,4.666666666666666e-05,0.055956666666666564,3.7362066666666665,4.666666666666666e-05,0.4636966666666666,20.110056666666665,6.1414566666666675,4.666666666666666e-05,0.11550666666666666,7.222996666666667,0.038266666666666664,0.24789666666666657,3.4351966666666667,4.666666666666666e-05,0.3608966666666666,0.7546366666666666,4.666666666666666e-05,0.3605966666666667,0.007176666666666666,0.9955366666666666,1.7543066666666667,0.37185666666666667,0.008996666666666667,4.666666666666666e-05,0.47769666666666666,0.7533966666666666,4.666666666666666e-05,0.2255666666666667,0.07479666666666666,0.7513766666666666,0.5413966666666666,0.05463666666666667,1.5206266666666668,22.625346666666665,4.666666666666666e-05,0.16287666666666667,0.33632666666666666,0.49351666666666666,0.08185666666666666,0.10558666666666666,4.666666666666666e-05,4.666666666666666e-05,4.666666666666666e-05,0.6912166666666666,0.1631466666666667,4.666666666666666e-05,0.06800666666666666,4.666666666666666e-05,4.666666666666666e-05,4.666666666666666e-05,0.24381666666666668,4.666666666666666e-05,0.005116666666666666,4.666666666666666e-05,0.059416666666666666,0.010786666666666667,4.666666666666666e-05,0.07300666666666666,0.024456666666666665,0.03823666666666667,0.03258666666666667,4.666666666666666e-05,0.032786666666666665,0.5004266666666666,4.666666666666666e-05,4.666666666666666e-05,0.18389666666666668,0.05020666666666666,4.666666666666666e-05,4.666666666666666e-05,4.666666666666666e-05,4.666666666666666e-05,22.157276666666696
36703_3#14,0.011263866666666667,3.9326638666666667,0.025553866666666664,0.32467386666666664,0.16468386666666665,0.08693386666666666,1.6462938666666667,0.5079338666666667,2.7504638666666668,4.386666666666666e-05,0.8784638666666666,0.5036738666666667,0.12447386666666667,1.1206838666666668,0.010443866666666668,0.06410386666666656,0.6385238666666666,4.386666666666666e-05,0.07857386666666667,5.611953866666667,0.03935386666666667,0.6795338666666667,8.497263866666666,0.06507386666666667,0.17407386666666666,4.386666666666666e-05,0.03472386666666667,0.016973866666666667,0.021333866666666666,0.0012338666666666667,4.386666666666666e-05,4.386666666666666e-05,0.09621386666666656,0.19709386666666665,4.386666666666666e-05,33.00636386666667,4.386666666666666e-05,3.8821738666666668,2.0261838666666665,4.386666666666666e-05,0.04871386666666667,4.386666666666666e-05,0.8358238666666666,4.386666666666666e-05,4.386666666666666e-05,1.7152738666666667,0.6008138666666666,0.03532386666666667,0.008683866666666568,0.07457386666666667,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,1.0201938666666666,4.386666666666666e-05,2.6136638666666667,0.7361638666666667,4.386666666666666e-05,4.386666666666666e-05,1.6127638666666666,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,0.03408386666666667,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,0.0022938666666666666,0.0008938666666665667,4.386666666666666e-05,4.386666666666666e-05,4.386666666666666e-05,23.440553866666672
36703_3#15,3.8266666666666664e-05,14.905108266666666,3.8266666666666664e-05,0.6065682666666667,0.09421826666666666,1.4497282666666667,3.1417882666666666,0.48585826666666665,4.457558266666666,0.7222082666666667,1.5635182666666667,44.21781826666667,0.44351826666666666,0.8796982666666666,3.8266666666666664e-05,0.20859826666666667,0.33398826666666664,3.8266666666666664e-05,1.3896582666666668,2.4214482666666663,3.8266666666666664e-05,0.4331082666666666,3.3634182666666663,3.8266666666666664e-05,0.16106826666666665,3.8266666666666664e-05,3.8266666666666664e-05,0.03957826666666667,0.010598266666666667,0.022948266666666668,3.8266666666666664e-05,0.0032282666666666664,3.8266666666666664e-05,0.054408266666666566,3.8266666666666664e-05,0.40058826666666664,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,0.0023682666666666663,3.8266666666666664e-05,0.45370826666666664,3.8266666666666664e-05,0.028018266666666666,3.8266666666666664e-05,4.887878266666666,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,0.061238266666666666,0.005748266666666567,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,0.004068266666666667,0.5898182666666667,1.5456182666666667,2.4940082666666665,1.4901782666666668,3.8266666666666664e-05,0.23093826666666656,3.8266666666666664e-05,0.05211826666666667,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,0.009918266666666667,3.8266666666666664e-05,0.13444826666666665,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,3.8266666666666664e-05,6.198398266666703
36703_3#16,0.02360973333333333,1.5297797333333334,5.9733333333333326e-05,0.19064973333333332,0.8994497333333333,5.9733333333333326e-05,0.30916973333333336,4.483499733333333,8.439319733333333,5.9733333333333326e-05,0.09877973333333334,3.3552197333333336,0.003249733333333333,0.18912973333333333,4.549839733333333,0.09317973333333333,0.09173973333333334,0.6235297333333333,0.12210973333333335,0.10494973333333334,0.004639733333333333,1.5564997333333335,0.9980897333333333,0.04885973333333333,0.08873973333333333,0.0045697333333333335,0.004749733333333334,0.26464973333333336,0.010819733333333333,0.3346097333333333,0.31369973333333334,0.1953597333333333,0.020649733333333233,5.9733333333333326e-05,0.18601973333333333,9.650189733333333,0.023739733333333332,0.23522973333333333,1.0803597333333335,0.004489733333333333,0.08206973333333334,1.4758297333333334,5.9733333333333326e-05,0.26315973333333326,0.2335197333333333,0.24281973333333332,0.09851973333333323,1.5439497333333334,0.04145973333333333,0.05044973333333333,1.8213397333333334,0.08090973333333334,0.9322697333333333,1.5538997333333333,5.9733333333333326e-05,0.31249973333333336,5.9733333333333326e-05,5.9733333333333326e-05,5.9733333333333326e-05,0.18722973333333331,5.9733333333333326e-05,0.12410973333333333,0.08654973333333334,0.0002997333333333333,5.9733333333333326e-05,0.28178973333333335,0.26715973333333326,0.06707973333333334,1.7833097333333334,0.02248973333333333,0.13726973333333323,2.3353997333333334,0.10662973333333334,0.10625973333333334,45.627899733333344
36703_3#17,4.8533333333333325e-05,1.0883485333333334,4.8533333333333325e-05,1.7583285333333334,0.058958533333333334,4.8533333333333325e-05,6.059478533333333,7.946548533333332,1.6504185333333332,0.05974853333333333,2.3265585333333334,0.021938533333333333,0.9823785333333334,2.7606085333333334,4.8533333333333325e-05,0.059278533333333334,0.20437853333333333,4.8533333333333325e-05,4.8533333333333325e-05,17.655118533333333,0.08561853333333333,0.6182585333333334,5.869508533333334,0.8296785333333333,1.2797285333333333,4.8533333333333325e-05,4.8533333333333325e-05,0.20197853333333324,0.0005485333333333333,0.02521853333333333,4.8533333333333325e-05,0.19310853333333333,3.1891685333333335,0.16375853333333334,0.0019485333333333333,4.665438533333334,0.5304685333333333,13.034248533333333,4.8533333333333325e-05,4.8533333333333325e-05,0.5919085333333334,0.03873853333333334,0.10708853333333333,4.8533333333333325e-05,0.18800853333333334,4.8533333333333325e-05,0.19845853333333333,0.7612685333333332,0.11479853333333334,0.14993853333333323,0.4258985333333332,0.19126853333333332,4.8533333333333325e-05,0.008448533333333334,4.8533333333333325e-05,0.2632185333333333,1.0095485333333334,0.09275853333333334,0.049398533333333335,0.17513853333333324,0.19122853333333334,0.12914853333333334,4.8533333333333325e-05,0.0031885333333333335,0.008848533333333334,4.8533333333333325e-05,4.8533333333333325e-05,0.0023285333333333334,4.8533333333333325e-05,0.057068533333333234,4.8533333333333325e-05,4.8533333333333325e-05,4.8533333333333325e-05,4.8533333333333325e-05,21.920418533333326
36703_3#18,0.025074133333333335,6.479174133333333,5.4133333333333326e-05,0.13004413333333323,0.6291041333333334,5.4133333333333326e-05,1.0015341333333332,35.75040413333333,2.104074133333333,5.4133333333333326e-05,2.2601241333333335,0.48490413333333326,0.014044133333333333,2.6695241333333333,0.0014441333333333332,0.005854133333333333,2.9836741333333334,5.4133333333333326e-05,0.8062641333333334,4.377824133333333,1.3098541333333333,0.5344041333333334,0.8768841333333334,0.09352413333333333,0.06728413333333333,0.03303413333333333,5.4133333333333326e-05,0.00039413333333333334,0.24630413333333323,0.09794413333333334,5.4133333333333326e-05,5.4133333333333326e-05,1.7792241333333334,0.31486413333333335,0.11366413333333324,2.0586741333333336,0.16965413333333332,7.128984133333333,3.5014141333333337,1.1620341333333333,0.08373413333333334,0.027834133333333334,0.33477413333333333,0.03589413333333333,0.21819413333333332,0.23501413333333332,0.4076941333333334,0.5486941333333334,5.4133333333333326e-05,0.06504413333333334,0.5002241333333334,0.006144133333333333,0.04236413333333333,0.18202413333333334,0.37821413333333337,5.4133333333333326e-05,2.1163741333333332,0.15439413333333332,0.06910413333333333,0.6148341333333334,0.08076413333333322,0.44572413333333327,0.05096413333333333,5.4133333333333326e-05,5.4133333333333326e-05,5.4133333333333326e-05,0.014674133333333334,0.12845413333333333,5.4133333333333326e-05,0.12404413333333324,5.4133333333333326e-05,5.4133333333333326e-05,5.4133333333333326e-05,5.4133333333333326e-05,13.922694133333362
36703_3#19,0.005745733333333333,12.165445733333332,0.024235733333333332,0.8752657333333334,1.1459857333333332,0.04072573333333333,3.2709357333333333,1.6179957333333332,1.8523857333333331,0.14954573333333335,4.573333333333333e-05,0.9456957333333333,0.46456573333333323,8.260795733333332,0.23655573333333335,4.573333333333333e-05,0.5408957333333333,4.573333333333333e-05,6.136355733333334,8.407535733333333,0.35378573333333335,0.4292457333333333,1.4761657333333331,0.0021257333333333335,1.2841257333333331,4.573333333333333e-05,0.04790573333333333,0.06177573333333333,0.6882557333333333,0.011815733333333333,0.012695733333333334,4.573333333333333e-05,0.08160573333333333,0.0006857333333332333,4.573333333333333e-05,1.6858257333333333,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,0.0031357333333333335,0.005115733333333333,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,11.377315733333333,4.573333333333333e-05,0.10278573333333324,0.028375733333333333,0.15885573333333333,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,0.09751573333333334,0.15355573333333333,1.5835257333333332,3.8707757333333332,4.573333333333333e-05,0.03240573333333333,0.017225733333333333,4.573333333333333e-05,4.573333333333333e-05,0.26431573333333336,4.573333333333333e-05,0.0027457333333333334,0.22820573333333333,4.573333333333333e-05,0.023205733333333332,4.573333333333333e-05,4.573333333333333e-05,0.03468573333333333,0.015425733333333334,29.72295573333332
36703_3#1,5.2694757333333335,4.573333333333333e-05,5.297025733333333,1.1416257333333333,5.992415733333334,0.4176457333333333,0.8999457333333334,15.333325733333332,1.2285157333333332,0.5164257333333333,0.41860573333333334,12.222255733333332,0.33927573333333333,1.3483957333333334,0.04769573333333333,0.11899573333333334,2.812745733333333,1.8659857333333332,0.05599573333333333,0.010145733333333334,4.573333333333333e-05,11.044055733333332,1.0943657333333332,0.3799557333333333,0.015475733333333333,0.9847257333333334,2.2243857333333334,3.475545733333333,0.15606573333333335,0.15257573333333335,0.31985573333333334,2.462685733333333,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,0.7327257333333334,2.899695733333333,1.0377757333333333,0.15153573333333334,0.14157573333333334,2.9489357333333333,0.21672573333333334,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,0.5205057333333334,0.9380557333333334,0.02581573333333333,0.5542057333333333,4.573333333333333e-05,4.573333333333333e-05,0.029605733333333332,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,4.573333333333333e-05,0.08076573333333334,4.573333333333333e-05,0.02271573333333333,4.573333333333333e-05,0.06241573333333323,4.573333333333333e-05,4.573333333333333e-05,0.18429573333333335,0.03760573333333333,4.573333333333333e-05,4.573333333333333e-05,0.0007957333333333333,4.573333333333333e-05,11.766865733333303
