,Bacteroides,Bifidobacterium,Phocaeicola,Fusicatenibacter,Roseburia,Hominilimicola,Blautia,Faecalibacterium,GGB4605,Ruminococcus,Anaerostipes,Collinsella,Agathobacter,Alistipes,GGB3612,Faecalibacillus,Dorea,Simiaoa,Hominenteromicrobium,Mediterraneibacter,Waltera,Parabacteroides,Candidatus Cibionibacter,Streptococcus,Escherichia,Coprococcus,Clostridium,Agathobaculum,Anaerobutyricum,Anaerotignum,Phascolarctobacterium,Eubacterium,Lentihominibacter,Gallintestinimicrobium,Dysosmobacter,Lachnospira,Veillonella,Haemophilus,Intestinibacter,GGB51491,Prevotella,Segatella,GGB4585,GGB4266,GGB3345,Holdemanella,Catenibacterium,Paratractidigestivibacter,Anthropogastromicrobium,Oscillibacter,Oliverpabstia,GGB4644,Pseudoflavonifractor,Vescimonas,Leyella,GGB9730,GGB51647,GGB4604,GGB9642,GGB9715,GGB9627,GGB81330,GGB9634,Ellagibacter,GGB1239,GGB4552,Romboutsia,Slackia,GGB99810,GGB143455,GGB3256,GGB4642,GGB4723,Senegalimassilia,GGB9712,GGB3429,GGB9760,GGB9766,GGB49409,GGB9603,GGB4888,Pilosibacter,Faecalicatena,GGB9708,GGB3588,Eshraghiella,GGB9758,GGB9790,GGB4456,GGB3304,GGB3730,GGB4672,GGB9759,GGB115571,GGB34797,Brotocaccenecus,Methanobrevibacter,GGB1627,GGB9677,GGB9602,GGB143497,GGB3653,Kineothrix,GGB9707,GGB9699,GGB4684,Wujia,GGB3619,GGB9747,GGB3321,GGB49418,GGB9345,otros
36703_3#10,32.43928601769911,11.200076017699114,10.173026017699113,6.615216017699115,5.250706017699115,4.155616017699115,3.9277160176991153,3.5587860176991155,3.3923760176991147,2.864796017699115,2.3346460176991153,2.1192160176991153,1.5203660176991152,0.986566017699115,0.859516017699115,0.8291860176991149,0.828216017699115,0.819016017699115,0.6534160176991151,0.6472160176991151,0.447836017699115,0.43076601769911504,0.32757601769911493,0.314556017699115,0.26184601769911503,0.2595760176991149,0.25913601769911504,0.16860601769911504,0.15153601769911504,0.10132601769911505,0.10097601769911504,0.08077601769911505,0.07284601769911504,0.036686017699115045,0.036256017699115045,0.023256017699115044,0.012626017699115045,0.0061060176991150445,0.004516017699115044,0.0038560176991150443,0.0008760176991149442,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,2.6017699115044242e-05,1.7216560176991447
36703_3#12,4.95575221238938e-05,2.0814595575221237,4.95575221238938e-05,1.630399557522124,2.779339557522124,0.023119557522123895,2.3934095575221237,13.650349557522125,4.95575221238938e-05,11.700349557522124,4.95575221238938e-05,0.2504295575221239,4.570639557522124,4.95575221238938e-05,0.04334955752212389,0.06150955752212379,2.875529557522124,0.1637195575221239,0.0803995575221239,1.741689557522124,4.95575221238938e-05,4.95575221238938e-05,0.0919695575221239,0.3899595575221239,1.232359557522124,2.3079995575221237,2.854379557522124,1.138989557522124,0.05270955752212379,0.017699557522123894,4.95575221238938e-05,1.108309557522124,0.009579557522123893,0.3438195575221239,4.95575221238938e-05,0.05990955752212389,0.1115495575221239,0.15785955752212388,0.029839557522123895,4.95575221238938e-05,0.1243195575221239,4.0672095575221245,2.518799557522124,2.137219557522124,1.557859557522124,1.1654995575221239,1.082469557522124,0.5949095575221239,0.5646695575221238,0.4772595575221239,0.4577695575221239,0.40791955752212394,0.3861495575221238,0.38586955752212393,0.33796955752212393,0.3327795575221239,0.3147595575221239,0.26236955752212393,0.23239955752212388,0.2059695575221239,0.15882955752212388,0.1419995575221239,0.1400895575221238,0.1279295575221239,0.1264895575221238,0.11736955752212389,0.11209955752212389,0.08642955752212389,0.07158955752212388,0.04669955752212389,0.03974955752212389,0.03775955752212389,0.03323955752212389,0.030279557522123895,0.028709557522123893,0.027769557522123893,0.024579557522123895,0.024439557522123893,0.024269557522123893,0.023329557522123893,0.022179557522123895,0.016759557522123894,0.015699557522123795,0.015479557522123894,0.007569557522123894,0.006519557522123893,0.004439557522123894,0.002329557522123894,0.0009295575221238938,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,4.95575221238938e-05,26.916009557522145
36703_3#13,0.014960265486725664,1.2632302654867258,4.0265486725663715e-05,0.05595026548672556,3.7362002654867257,4.0265486725663715e-05,0.4636902654867256,20.110050265486727,4.0265486725663715e-05,6.141450265486726,4.0265486725663715e-05,0.11550026548672565,7.222990265486725,4.0265486725663715e-05,0.12002026548672566,0.03826026548672566,0.24789026548672555,3.435190265486726,4.0265486725663715e-05,0.3608902654867256,0.7546302654867256,4.0265486725663715e-05,4.0265486725663715e-05,0.3605902654867257,0.0071702654867256636,0.9955302654867256,1.7543002654867257,0.3718502654867257,0.008990265486725664,4.0265486725663715e-05,0.47769026548672566,0.7533902654867256,4.0265486725663715e-05,0.22556026548672567,0.07479026548672565,0.7513702654867256,0.05500026548672556,0.5413902654867256,0.054630265486725664,0.00012026548672566371,1.5206202654867258,22.625340265486727,4.0265486725663715e-05,2.996810265486726,4.0265486725663715e-05,0.16287026548672565,0.33632026548672567,0.49351026548672566,0.08185026548672565,0.10558026548672565,4.0265486725663715e-05,0.7445002654867257,4.0265486725663715e-05,4.0265486725663715e-05,0.6912102654867256,0.16314026548672567,4.0265486725663715e-05,0.06800026548672565,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,0.24381026548672566,4.0265486725663715e-05,0.005110265486725663,0.3497602654867257,4.0265486725663715e-05,0.059410265486725664,0.010780265486725664,0.004800265486725664,0.14767026548672565,4.0265486725663715e-05,0.07300026548672565,4.0265486725663715e-05,0.024450265486725662,4.0265486725663715e-05,0.012160265486725663,0.038230265486725666,0.032580265486725664,4.0265486725663715e-05,4.0265486725663715e-05,0.05586026548672556,0.11396026548672565,0.03278026548672566,0.5004202654867256,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,0.11375026548672555,0.18389026548672566,0.17104026548672566,0.07990026548672566,0.05020026548672566,0.026450265486725664,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,4.0265486725663715e-05,17.165020265486728
36703_3#14,0.011253451327433628,3.932653451327434,0.025543451327433627,0.3246634513274336,0.16467345132743363,0.08692345132743362,1.6462834513274336,0.5079234513274337,0.08943345132743362,2.750453451327434,3.3451327433628316e-05,0.8784534513274336,0.5036634513274336,3.3451327433628316e-05,3.3451327433628316e-05,0.12446345132743362,1.1206734513274337,0.010433451327433629,0.06409345132743352,0.6385134513274335,3.3451327433628316e-05,3.3451327433628316e-05,0.07856345132743363,5.611943451327433,0.03934345132743362,0.6795234513274336,8.497253451327433,0.06506345132743363,0.17406345132743364,3.3451327433628316e-05,0.03471345132743363,0.01696345132743363,0.02132345132743363,0.0012234513274336284,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,0.09620345132743352,0.19708345132743363,3.3451327433628316e-05,3.3451327433628316e-05,33.006353451327435,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.882163451327434,2.0261734513274336,3.3451327433628316e-05,0.048703451327433624,3.3451327433628316e-05,0.8358134513274336,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,1.7152634513274336,0.6008034513274335,0.035313451327433625,0.008673451327433529,0.07456345132743362,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,1.0201834513274335,1.1512434513274337,3.3451327433628316e-05,2.613653451327434,0.7361534513274336,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,1.6127534513274335,3.3451327433628316e-05,0.06004345132743352,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,0.034073451327433626,3.3451327433628316e-05,3.3451327433628316e-05,0.034093451327433626,3.3451327433628316e-05,3.3451327433628316e-05,0.09112345132743363,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,0.0022834513274336285,0.0016034513274336283,0.21158345132743353,0.0008834513274335283,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,3.3451327433628316e-05,21.801163451327454
36703_3#15,2.849557522123893e-05,14.90509849557522,2.849557522123893e-05,0.6065584955752212,0.09420849557522123,1.4497184955752211,3.1417784955752213,0.48584849557522125,0.10208849557522123,4.457548495575221,0.7221984955752212,1.5635084955752212,44.21780849557522,2.849557522123893e-05,2.849557522123893e-05,0.44350849557522126,0.8796884955752211,2.849557522123893e-05,0.20858849557522124,0.33397849557522125,2.849557522123893e-05,2.849557522123893e-05,1.3896484955752213,2.421438495575221,2.849557522123893e-05,0.4330984955752212,3.363408495575221,2.849557522123893e-05,0.16105849557522123,2.849557522123893e-05,2.849557522123893e-05,0.03956849557522124,0.01058849557522124,0.02293849557522124,2.849557522123893e-05,0.0032184955752212387,2.849557522123893e-05,2.849557522123893e-05,0.05439849557522114,0.0012284955752211388,2.849557522123893e-05,0.40057849557522124,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.0023584955752212386,2.849557522123893e-05,0.45369849557522124,2.849557522123893e-05,2.849557522123893e-05,0.028008495575221237,2.849557522123893e-05,4.887868495575221,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.06122849557522124,0.005738495575221139,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.004058495575221239,0.5898084955752212,1.5456084955752212,0.019818495575221237,2.849557522123893e-05,2.4939984955752212,1.4901684955752212,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.23092849557522113,2.849557522123893e-05,0.05210849557522124,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.04473849557522124,2.849557522123893e-05,2.849557522123893e-05,0.00990849557522124,0.07666849557522123,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,0.13443849557522122,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,2.849557522123893e-05,5.953638495575244
36703_3#16,0.02360946902654867,1.5297794690265487,5.946902654867256e-05,0.19064946902654867,0.8994494690265488,5.946902654867256e-05,0.3091694690265487,4.483499469026548,5.946902654867256e-05,8.439319469026549,5.946902654867256e-05,0.09877946902654867,3.3552194690265487,0.014289469026548672,0.20152946902654867,0.0032494690265486726,0.18912946902654867,4.549839469026549,0.09317946902654867,0.09173946902654867,0.6235294690265487,0.010089469026548671,0.12210946902654868,0.10494946902654867,0.004639469026548672,1.5564994690265488,0.9980894690265487,0.04885946902654867,0.08873946902654867,0.004569469026548673,0.004749469026548673,0.2646494690265487,0.010819469026548671,0.33460946902654864,0.31369946902654866,0.19535946902654866,0.12118946902654867,0.020649469026548573,5.946902654867256e-05,5.946902654867256e-05,0.18601946902654867,9.650189469026548,0.023739469026548672,2.4303694690265485,0.055359469026548674,0.23522946902654868,1.0803594690265488,0.004489469026548672,0.08206946902654867,1.4758294690265488,5.946902654867256e-05,0.2899594690265487,0.2631594690265486,0.23351946902654866,0.24281946902654866,0.09851946902654857,1.5439494690265487,0.04145946902654867,0.05044946902654867,1.8213394690265488,0.08090946902654868,0.9322694690265487,1.5538994690265486,5.946902654867256e-05,0.08372946902654867,0.3124994690265487,5.946902654867256e-05,5.946902654867256e-05,0.01585946902654867,0.5892094690265487,5.946902654867256e-05,0.18722946902654866,0.02009946902654867,5.946902654867256e-05,0.11639946902654857,0.015339469026548673,0.12410946902654867,0.08654946902654867,0.00029946902654867256,0.25181946902654867,0.03794946902654867,0.045589469026548674,5.946902654867256e-05,0.28178946902654867,5.946902654867256e-05,1.8743794690265487,0.2671594690265486,0.06707946902654867,5.946902654867256e-05,1.7833094690265487,0.015269469026548672,0.021429469026548673,0.02248946902654867,0.15976946902654868,5.946902654867256e-05,0.13726946902654857,2.3353994690265485,1.5360994690265488,0.4668594690265487,0.29209946902654865,0.15462946902654867,0.10662946902654867,0.10625946902654868,0.08900946902654867,0.06537946902654868,0.04569946902654867,0.04271946902654867,0.04031946902654867,0.03592946902654867,0.023049469026548672,0.010539469026548672,5.946902654867256e-05,36.45559946902657
36703_3#17,3.902654867256637e-05,1.0883390265486725,3.902654867256637e-05,1.7583190265486726,0.05894902654867257,3.902654867256637e-05,6.059469026548673,7.946539026548671,0.016779026548672565,1.6504090265486724,0.059739026548672566,2.3265490265486726,0.021929026548672566,3.902654867256637e-05,3.902654867256637e-05,0.9823690265486726,2.7605990265486726,3.902654867256637e-05,0.05926902654867257,0.20436902654867256,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,17.655109026548672,0.08560902654867256,0.6182490265486726,5.869499026548673,0.8296690265486726,1.2797190265486724,3.902654867256637e-05,3.902654867256637e-05,0.20196902654867246,0.0005390265486725663,0.025209026548672565,3.902654867256637e-05,0.19309902654867256,0.19342902654867256,3.1891590265486727,0.16374902654867257,0.009009026548672566,0.0019390265486725663,4.665429026548673,0.5304590265486726,3.902654867256637e-05,0.06400902654867256,13.034239026548672,3.902654867256637e-05,3.902654867256637e-05,0.5918990265486727,0.03872902654867257,0.10707902654867256,0.023479026548672566,3.902654867256637e-05,0.18799902654867257,3.902654867256637e-05,0.19844902654867255,0.7612590265486725,0.11478902654867257,0.14992902654867246,0.4258890265486725,0.19125902654867255,3.902654867256637e-05,0.008439026548672566,3.902654867256637e-05,3.902654867256637e-05,0.26320902654867256,1.0095390265486726,0.09274902654867256,0.030859026548672466,3.902654867256637e-05,0.04938902654867257,0.17512902654867246,3.902654867256637e-05,0.19121902654867257,3.902654867256637e-05,3.902654867256637e-05,0.12913902654867257,3.902654867256637e-05,0.0031790265486725667,3.902654867256637e-05,0.22333902654867246,3.902654867256637e-05,0.008839026548672566,3.902654867256637e-05,0.04899902654867257,3.902654867256637e-05,3.902654867256637e-05,0.0023190265486725667,0.15670902654867255,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,0.05705902654867247,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,0.07507902654867256,3.902654867256637e-05,0.005489026548672566,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,3.902654867256637e-05,21.07288902654867
36703_3#18,0.025063362831858407,6.479163362831859,4.336283185840708e-05,0.13003336283185832,0.6290933628318585,4.336283185840708e-05,1.0015233628318583,35.75039336283186,0.022693362831858306,2.1040633628318584,4.336283185840708e-05,2.260113362831859,0.4848933628318583,4.336283185840708e-05,4.336283185840708e-05,0.014033362831858407,2.6695133628318586,0.001433362831858407,0.005843362831858407,2.9836633628318587,4.336283185840708e-05,4.336283185840708e-05,0.8062533628318584,4.3778133628318585,1.3098433628318584,0.5343933628318585,0.8768733628318585,0.0935133628318584,0.0672733628318584,0.03302336283185841,4.336283185840708e-05,0.0003833628318584071,0.24629336283185832,0.09793336283185841,4.336283185840708e-05,4.336283185840708e-05,0.023163362831858405,1.7792133628318585,0.3148533628318584,4.336283185840708e-05,0.11365336283185831,2.058663362831859,0.1696433628318584,0.3122233628318584,4.336283185840708e-05,7.128973362831858,3.501403362831859,1.1620233628318584,0.08372336283185841,0.027823362831858406,0.33476336283185837,4.336283185840708e-05,0.035883362831858404,0.2181833628318584,0.2350033628318584,0.4076833628318584,0.5486833628318585,4.336283185840708e-05,0.06503336283185841,0.5002133628318585,0.006133362831858407,0.04235336283185841,0.18201336283185843,0.3782033628318584,0.044413362831858406,4.336283185840708e-05,2.1163633628318586,0.1543833628318584,4.336283185840708e-05,4.336283185840708e-05,0.06909336283185841,0.6148233628318585,4.336283185840708e-05,0.0807533628318583,0.03546336283185841,0.003473362831858407,0.4457133628318583,0.050953362831858404,4.336283185840708e-05,4.336283185840708e-05,0.23748336283185842,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,0.014663362831858408,0.12844336283185842,0.018733362831858405,4.336283185840708e-05,0.006603362831858407,4.336283185840708e-05,0.12403336283185831,4.336283185840708e-05,0.007843362831858408,4.336283185840708e-05,4.336283185840708e-05,0.012713362831858407,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,0.00046336283185840707,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,4.336283185840708e-05,13.1970933628319
36703_3#19,0.005736548672566372,12.165436548672565,0.02422654867256637,0.8752565486725664,1.1459765486725664,0.040716548672566376,3.2709265486725663,1.6179865486725664,3.654867256637168e-05,1.8523765486725663,0.14953654867256638,3.654867256637168e-05,0.9456865486725664,3.654867256637168e-05,3.654867256637168e-05,0.46455654867256624,8.260786548672565,0.2365465486725664,3.654867256637168e-05,0.5408865486725664,3.654867256637168e-05,3.654867256637168e-05,6.136346548672567,8.407526548672566,0.35377654867256636,0.42923654867256633,1.4761565486725663,0.0021165486725663717,1.2841165486725663,3.654867256637168e-05,0.047896548672566375,0.061766548672566375,0.6882465486725664,0.01180654867256637,0.012686548672566371,3.654867256637168e-05,3.654867256637168e-05,0.08159654867256637,0.0006765486725662717,0.0008265486725663717,3.654867256637168e-05,1.6858165486725665,3.654867256637168e-05,3.654867256637168e-05,0.03850654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.0031265486725663718,0.005106548672566371,0.14404654867256628,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,11.377306548672566,3.654867256637168e-05,0.10277654867256628,0.028366548672566372,0.15884654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.09750654867256638,0.15354654867256637,1.5835165486725664,0.00033654867256637167,3.654867256637168e-05,3.870766548672566,3.654867256637168e-05,0.032396548672566375,0.032396548672566375,3.654867256637168e-05,3.654867256637168e-05,0.017216548672566372,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.26430654867256637,3.654867256637168e-05,0.12957654867256638,3.654867256637168e-05,0.0027365486725663716,0.22819654867256636,0.028376548672566372,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.02319654867256637,3.654867256637168e-05,0.05368654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.03467654867256637,0.015416548672566371,3.654867256637168e-05,3.654867256637168e-05,0.35288654867256625,0.05021654867256638,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,28.891756548672554
36703_3#1,5.2694665486725665,3.654867256637168e-05,5.297016548672566,1.1416165486725665,5.992406548672567,0.41763654867256633,0.8999365486725664,15.333316548672565,3.654867256637168e-05,1.2285065486725664,0.5164165486725664,0.41859654867256635,12.222246548672565,1.9736165486725663,0.30397654867256635,0.33926654867256634,1.3483865486725666,0.04768654867256637,0.11898654867256638,2.812736548672566,1.8659765486725663,0.9112365486725664,0.055986548672566375,0.010136548672566371,3.654867256637168e-05,11.044046548672565,1.0943565486725664,0.37994654867256633,0.01546654867256637,0.9847165486725664,2.2243765486725664,3.475536548672566,0.15605654867256638,0.1525665486725664,0.31984654867256634,2.462676548672566,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.006666548672566372,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.7327165486725664,2.899686548672566,1.0377665486725665,3.654867256637168e-05,0.15152654867256637,0.14156654867256638,2.948926548672566,0.21671654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.5204965486725665,0.9380465486725664,0.02580654867256637,0.5541965486725664,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.02959654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.08075654867256638,3.654867256637168e-05,0.02270654867256637,0.057616548672566374,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.06240654867256627,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.18428654867256639,3.654867256637168e-05,3.654867256637168e-05,0.03759654867256637,0.10500654867256637,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.048666548672566375,3.654867256637168e-05,0.0007865486725663717,3.654867256637168e-05,0.20810654867256637,0.12359654867256628,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,3.654867256637168e-05,0.048736548672566375,3.654867256637168e-05,3.654867256637168e-05,7.979296548672537
