,Feature,Importance,Specie,abundance
6622,2995304,0.022320655271254732,Nannocystis sp. fl3,8675.0
2191,2742128,0.014583072316258517,Actinomadura sp. NAK00032,4037.0
2155,35754,0.013298898034340926,Dactylosporangium aurantiacum,5866.0
1567,1652028,0.013067504282797559,Brachybacterium huguangmaarense,4005.0
99,2734,0.012680356969113184,Symbiobacterium thermophilum,17013.0
1972,2714937,0.01245681252255559,Propioniciclava coleopterorum,6250.0
1961,1749,0.011786809514348929,Acidipropionibacterium jensenii,6775.0
6065,69666,0.01118120672369074,Caulobacter mirabilis,3464.0
6599,1297742,0.01095121191860817,Myxococcus hansupus,3881.0
2559,55148,0.009651179930713231,Deinococcus proteolyticus,6346.0
1623,2716227,0.009086546553498729,Gephyromycinifex aptenodytis,2935.0
2194,1993,0.008315093646621396,Actinomadura madurae,5862.0
1101,441501,0.008177873175328861,Corynebacterium massiliense,3013.0
2590,332249,0.007729666955055618,Truepera radiovictrix,4881.0
1518,2866588,0.00760065170305469,Pseudoclavibacter sp. Marseille-Q3772,1884.0
1206,37919,0.007520168899928554,Rhodococcus opacus,6885.0
4906,2045208,0.007384723345099792,Massilia violaceinigra,5327.0
3693,294,0.00737898060442039,Pseudomonas fluorescens,16857.0
5268,106592,0.007347665593002125,Ensifer adhaerens,11685.0
5257,382,0.00721252461456157,Sinorhizobium meliloti,9449.0
130,252966,0.0071520728298771164,Mahella australiensis,12378.0
2075,2865833,0.007128439461394398,Pseudonocardia sp. DSM 110487,4855.0
1217,43767,0.007100741880646492,Prescottella equi,3992.0
6604,2813578,0.007098723847836834,Pyxidicoccus sp. SCPEA002,5729.0
6267,2597769,0.006988014305396597,Geobacter sp. FeAm09,5322.0
6623,80816,0.006892812995352939,Haliangium ochraceum,6528.0
6554,114,0.006880666957439264,Gemmata obscuriglobus,3555.0
662,1903704,0.006868976382325234,Tumebacillus avium,13862.0
1390,162426,0.006863380303267493,Microbacterium hominis,10989.0
6620,927083,0.006846392277529602,Sandaracinus amylolyticus,7524.0
1707,3031124,0.006841693053274725,Streptomyces sp. HUAS 5,1389.0
148,291990,0.006811758661801018,Thermosediminibacter oceani,5890.0
2036,3002436,0.006799434751106655,Kribbella sp. CA-293567,3118.0
186,2660554,0.0067992788923572,Paenibacillus sp. B01,15020.0
3728,33069,0.006727766668901449,Pseudomonas viridiflava,4082.0
2034,642780,0.0067039945651249135,Marmoricola scoriae,3593.0
87,51515,0.006685737250191889,Dehalobacterium formicoaceticum,18889.0
