,PC1,PC2,Lifestyle
37035_2#16,-394042.73446091264,-520846.93136629584,Urban
37082_3#26,-405523.1426978107,115194.84229225175,Rural
37035_7#13,3198542.3563051904,293263.4759368384,Rural
37035_1#27,-546644.1614342133,139917.4178153815,Rural
37082_1#17,3839.4331764073463,-177051.84849802507,Urban
37082_3#15,41680.86001404115,-6117.469600408799,Rural
37035_2#21,-176662.6915165528,-451429.23964617925,Urban
36703_3#14,2560593.5086921826,400808.58003313275,Rural
37035_1#12,1063458.920572773,416617.9309287529,Rural
37035_2#3,-444989.22059474385,-212551.7526677926,Urban
37035_7#22,-396799.65334059036,13432.931692038997,Rural
37035_7#20,2697938.064506608,208296.33508851953,Rural
36703_3#16,273525.34221226844,-218510.89449979013,Rural
36703_3#8,-397089.6279873858,-631396.0360530602,Urban
36703_3#26,803103.7911391386,-23220.913040525178,Rural
37035_1#29,-419431.2695556015,-63406.60963325361,Urban
37082_2#1,-507283.54688035924,593880.4063959332,Urban
37082_3#28,-562208.7995163837,425968.6818583901,Rural
37035_1#17,-435138.2648956733,403572.09389838914,Rural
37082_1#20,-416256.2585761043,-300255.4750776619,Urban
37082_3#31,-340400.17502277816,-158659.38674208152,Rural
37035_2#13,4911752.524347859,314634.9784305429,Urban
37082_1#22,-497202.3613986769,-102730.65476798873,Urban
37082_1#32,21548.2183709666,-6992.3139828762105,Urban
37035_1#10,-373503.58720676496,198139.8055489595,Rural
37082_1#10,-456048.69204976247,82840.89770160982,Urban
37035_7#24,-511761.8047004457,121429.32633627263,Rural
36703_3#6,-433099.2503885588,-3872.1530960044515,Urban
36703_3#24,-576250.3033526094,780841.9053204401,Rural
37035_2#30,1480503.7226637246,-90579.84407767591,Urban
37082_2#27,-298208.14519762126,253449.40018328905,Rural
37082_3#27,-288561.90646914404,243288.43760950695,Rural
37035_7#17,-107789.37440127815,183436.41229861273,Rural
37082_2#23,-310631.94865409174,-273468.6800589674,Rural
36703_3#28,-128336.78313128075,234459.0370670752,Rural
37082_3#3,-724899.8411534248,2615885.124069827,Rural
36703_3#2,-29876.43861591761,-338907.7686842085,Urban
37035_1#30,2315171.5677796174,34977.33035084573,Urban
37035_1#11,-510091.27598523785,982914.5127692017,Rural
37035_1#16,273072.4428181754,-67884.28820489653,Rural
36703_3#29,709720.6571589385,-273182.63312181504,Rural
37035_2#14,-1606.6375518961843,-163146.6097546944,Urban
37035_2#9,-481111.24671996484,-282446.6661827001,Urban
37082_3#14,-507421.6615942192,-45440.09633676911,Rural
37035_1#24,-248760.19269713658,-12405.838505538633,Rural
37035_1#3,-307915.71493813576,-46307.10064205482,Rural
37082_1#25,1305112.5563071053,-76618.70710063442,Urban
37035_7#25,-119760.22669106275,-857157.1831114636,Rural
37035_2#27,-479654.649115816,-367265.7148729252,Urban
37082_2#21,-318395.9974613855,185934.50250613474,Rural
36703_3#5,-467946.3949271962,138519.7784269422,Urban
36703_3#12,-187323.97855177207,-30877.168770980745,Rural
37082_2#5,-438851.67214558425,-46878.928286671806,Urban
37082_3#32,-307149.5195998463,-77155.39582883549,Rural
37082_3#11,-432875.6165674396,26268.57475395638,Rural
37082_3#13,-352283.56005894445,-24060.90498826245,Rural
37035_7#1,-61669.653218363375,18891.618220168446,Rural
36703_3#27,160376.48824231746,-146040.73945832733,Rural
36703_3#17,-133372.8805630263,267149.61477688124,Rural
37082_2#22,-437054.3243569142,112760.32899101332,Rural
37082_2#24,-507949.28395178873,223551.59676164575,Rural
37035_1#23,-248803.97762789548,383161.43515076645,Rural
36703_3#25,-347198.4934004633,2609558.646745236,Rural
37035_2#29,1636668.2568456128,-2004.6634126528827,Urban
37082_1#24,-356007.98627604044,-352700.26487839234,Urban
37035_1#2,-245782.82302253513,-108468.51283865467,Rural
37035_1#20,-400550.53847808123,6287.235020834671,Rural
37035_1#13,1822264.2263648752,372626.3928600264,Rural
37082_3#6,-215263.49790825055,-420623.19894276507,Rural
36703_3#19,-359414.8965914624,30839.584504038765,Rural
37035_1#7,-416453.53031522175,678012.1968181346,Rural
37082_1#31,-445497.4130936993,-664978.9221041994,Urban
37035_2#10,412693.54808119783,-263389.2608183394,Urban
37035_2#26,339020.1392535229,-55060.996726564124,Urban
37035_2#31,409026.8755215542,-233711.82447065384,Urban
37082_2#8,327515.8515206368,-153908.26262056603,Urban
37082_2#26,-452364.8071483498,-45408.52416331174,Rural
37035_7#21,-467454.1551579801,370792.1056055808,Rural
37082_1#12,-459106.460982314,-309561.60040248436,Urban
37082_3#23,-484256.35204087896,52744.606932369985,Rural
37082_2#2,-204729.39516525227,-287673.9217340045,Urban
37035_7#14,1568195.749876324,39123.21839734641,Rural
37082_3#10,-402715.1195223117,-96842.26302503361,Rural
37082_2#25,-287897.56096956594,-32420.40075864984,Rural
36703_3#32,-300766.36921861285,310514.79316430364,Rural
37082_2#12,300441.71108774043,-192296.76687995088,Urban
37035_2#25,1572637.9066303156,-108712.24189807806,Urban
37035_1#5,-91571.64365409919,25272.19823104147,Rural
37082_2#30,-364134.4169721599,63136.68094963267,Rural
37082_3#22,-505459.54534858424,1032035.1007097586,Rural
37082_3#9,-423449.2846782697,541787.2884685479,Rural
36703_3#22,-16360.228196334021,-1341.3079545421433,Rural
37082_3#1,-500393.6787885585,15094.15426614852,Rural
37035_2#1,-254144.84171169452,-342663.1934659182,Urban
36703_3#7,-367961.68910172366,14983.507379093275,Urban
37082_2#15,-536603.1943366493,-125261.42640758639,Urban
37035_7#11,1682897.2645813904,129893.65170224078,Rural
37082_2#18,-383899.023708738,-107293.10688976443,Rural
37082_1#30,-337460.6376344092,-222282.85300400632,Urban
37035_7#12,788677.9137746064,-141191.33624547362,Rural
37035_7#23,9292.083973976989,-36355.39842985003,Rural
37035_2#23,-378086.7824044859,199708.89582894984,Urban
37082_3#2,-503068.66822522343,75562.33160545505,Rural
37082_1#29,-333965.57507977594,-132858.72569628555,Urban
37035_2#24,-374026.68824504624,-315799.0846951411,Urban
37082_2#17,-362296.5242612028,627081.5106716193,Rural
37082_3#25,-218067.9642197759,1075.7169498309236,Rural
37035_2#12,-172990.83858551376,-450123.31000497774,Urban
37082_2#9,-211557.68022496128,-99364.46763415255,Urban
37035_2#15,-474039.4229625473,-526761.3818385681,Urban
37035_1#25,-423094.7584957063,-45838.04818199247,Rural
36703_3#18,-225512.89299374807,-195554.64667218094,Rural
37082_2#10,-470686.21949632996,-173698.778575355,Urban
37082_3#29,-416931.9576879294,155392.77891504174,Rural
37035_7#16,-313193.94841516705,-346840.2490076328,Rural
37035_1#1,165461.51357988745,-93926.44296693664,Rural
37082_1#18,-384916.7461335797,-814612.0658848619,Urban
37082_1#11,-455188.4244081647,-216899.4256199474,Urban
37082_2#28,7104.437301589132,63966.436517980896,Rural
37035_7#15,-272269.38095296035,367540.7370229223,Rural
37035_7#2,846135.5518985838,-22195.788633920132,Rural
37035_1#15,-150024.10182666083,-318184.0250084908,Rural
37035_1#9,-466392.0616768222,378373.8847458164,Rural
37035_2#18,-398648.7216349374,-487166.86451777915,Urban
37035_2#6,-143093.17148108437,-518461.04864732135,Urban
37082_1#9,-431438.409523843,-429770.6660896443,Urban
36703_3#23,-527831.0025517944,89036.80466983051,Rural
37035_1#4,-436827.817944331,223398.8216389353,Rural
37035_1#6,-686026.2995387013,2605083.3989264285,Rural
37082_3#21,54678.25271823072,110532.17195199944,Rural
36703_3#31,-624632.9880424347,1032235.3353684592,Rural
37082_1#15,26925.94887814447,-315331.84692682023,Urban
37082_2#7,-497681.3613940933,-112535.90888738599,Urban
36703_3#3,3866470.744309788,359328.7741709154,Urban
37082_3#7,-303386.1194574585,-83238.38620498363,Rural
37082_2#32,-411588.58035571536,-41572.30199001032,Rural
37035_7#8,1343748.0523222561,-197675.43641624015,Rural
37082_1#27,-145983.3276111842,-742391.0263881517,Urban
37035_2#8,32017.21832125569,-562050.9232273812,Urban
37082_3#30,-338920.90172389534,-79353.48712606051,Rural
36703_3#15,-428991.32039684156,-51335.555337084,Rural
37082_2#11,-368483.1531652,-169140.7424856683,Urban
37035_2#19,-422977.8300597958,-496447.94864988973,Urban
37082_1#19,2380063.1515078237,221416.42811459312,Urban
37082_3#5,-279981.53550462506,-230461.54222628442,Rural
37082_2#31,-480652.55316213676,11693.44793781548,Rural
37035_7#5,3231560.459124785,138539.8072822497,Rural
37082_2#29,-41849.79252415332,-155529.44460867767,Rural
37082_1#23,-479607.9295495534,-158302.04187638595,Urban
37082_2#13,-548678.9761112543,-361109.48841790046,Urban
37082_3#8,-51133.61153805118,-181808.25116450977,Rural
37035_1#8,1038779.8339784257,-63466.144841431415,Rural
37082_2#14,-459321.86323069787,-155128.71181280504,Urban
37082_2#16,-420015.6140536059,300833.5406451293,Rural
36703_3#9,-436621.8475390307,-510797.93350469734,Urban
37082_3#19,-375729.16405965685,-26901.079933327932,Rural
37082_1#26,-466263.3542091239,-527365.8726769671,Urban
37035_2#2,-460883.5648365544,-307369.7410635294,Urban
37082_1#16,601846.4339644467,-201398.25139479287,Urban
37082_2#19,-353058.47845659667,218408.4109124819,Rural
37082_1#28,-351948.58891840867,-513398.9213915467,Urban
37035_2#20,-342053.88023385237,-1017263.1112095556,Urban
37035_7#4,-175382.42267097937,152324.99471628983,Rural
37035_7#19,-858708.180373928,3091155.288706093,Rural
37082_2#6,-407869.10039135785,-142091.8109745201,Urban
37082_2#3,-469510.39348918735,-203298.24912652108,Urban
37082_3#17,-387165.4975642021,1963697.766158418,Rural
37082_3#20,-578690.2144793521,217624.60986702007,Rural
37035_7#7,1067025.9306650334,-97466.07071425563,Rural
37082_1#21,355427.09282542573,-579349.1923260312,Urban
37035_1#18,-121650.86370012777,811834.2541771089,Rural
37082_2#20,-320266.1928247353,-15373.368231099716,Rural
37035_1#31,-347277.112506558,-661763.2278603566,Urban
37082_1#14,-495261.16657859617,-387711.0825125476,Urban
37035_7#10,715987.4579315996,-379518.258798403,Rural
37035_2#7,885601.0090932762,-182207.96128387665,Urban
37082_3#4,32372.489286430842,-137920.5866921906,Rural
36703_3#1,-409075.37570884277,-474291.0045015766,Urban
37082_3#12,-122773.06974052613,-431945.42606196745,Rural
36703_3#21,-265474.5219713893,-91045.53532321368,Rural
37035_2#11,-334215.2993269029,-923965.9227672527,Urban
37035_1#32,842708.196842785,-223101.35013218873,Urban
37035_2#17,-403567.5715948305,-377897.93317209213,Urban
37035_2#28,-341755.21669315116,679025.6706234709,Urban
36703_3#10,-502242.37323225575,-430093.59443626885,Urban
37035_2#32,-423142.1923145778,-424597.8483790914,Urban
37035_2#4,-401104.3707333589,-312743.7479395647,Urban
37082_3#24,-377513.1662553118,209574.50523616318,Rural
37035_1#14,-365091.1140518907,-74815.85900718381,Rural
37035_1#21,-548013.1744439742,36021.25208697067,Rural
36703_3#30,1458712.9571506835,406921.26559097786,Rural
37035_1#26,-576566.0715137323,142729.70660125947,Rural
37035_1#22,-236464.59565427923,-54713.546463160106,Rural
37035_2#5,-381252.7761067346,-521010.47285799956,Urban
36703_3#13,1457637.3152404889,-226680.6460051388,Rural
37035_7#9,826029.1149657347,178394.94986111086,Rural
37082_1#13,-413677.2445950781,-397718.90004443075,Urban
37035_7#3,1279233.6608616784,-196650.22288202247,Rural
37035_7#6,-264931.10002419655,-976285.0398080765,Rural
