,PC1,PC2,Lifestyle
37035_2#16,-19.844769592192844,-9.328683034075643,Urban
37082_3#26,21.45791018270855,25.351764198380646,Rural
37035_7#13,-35.53489386307983,-9.980455362794098,Rural
37035_1#27,-36.095318521294814,-4.713766194658546,Rural
37082_1#17,20.105311254245482,-19.04248249839945,Urban
37082_3#15,74.79851932613835,52.496450139624045,Rural
37035_2#21,-3.174773447057451,-12.460601004118832,Urban
36703_3#14,-41.35306198086907,4.595825055358725,Rural
37035_1#12,69.92125173502745,-12.80150089568455,Rural
37035_2#3,26.44262252047118,-20.830876436534446,Urban
37035_7#22,-4.369026475667428,97.21724830697896,Rural
37035_7#20,-2.503010745901241,-7.061092743871933,Rural
36703_3#16,81.79790695790618,-12.257254798937652,Rural
36703_3#8,2.2039538249473036,-17.49143110546165,Urban
36703_3#26,-22.487990149625237,-9.846692121980704,Rural
37035_1#29,-6.701936826956831,-13.755248910757981,Urban
37082_2#1,-44.43820010684974,-12.530205209282414,Urban
37082_3#28,-50.49589300998956,-2.573014258953084,Rural
37035_1#17,-5.87635438387291,29.295165961255243,Rural
37082_1#20,44.60254215479409,-40.07905149240157,Urban
37082_3#31,108.60845675692322,-0.5963806063882676,Rural
37035_2#13,-58.29028446758529,-14.07211534435037,Urban
37082_1#22,-22.058715673169402,2.2555877984445725,Urban
37082_1#32,25.65612828082999,-30.80406173375533,Urban
37035_1#10,7.6163548815744955,108.88983746794544,Rural
37082_1#10,-2.6564532003232233,-10.15513079036912,Urban
37035_7#24,-54.386401002812974,-8.374224486174159,Rural
36703_3#6,-64.19450367216035,-9.020891698268052,Urban
36703_3#24,-53.28181872810799,-5.47745225205345,Rural
37035_2#30,-9.087528535896215,-19.372907228676077,Urban
37082_2#27,-34.82777375060488,-1.317759620297699,Rural
37082_3#27,-6.778409207918083,29.29210154597545,Rural
37035_7#17,-5.458195358241678,14.548758058514899,Rural
37082_2#23,33.628992126134804,8.223973743648525,Rural
36703_3#28,-35.769128075330094,-10.82710867236882,Rural
37082_3#3,-59.92595827239031,-5.912938870341763,Rural
36703_3#2,-39.84022306226053,-11.266448088897237,Urban
37035_1#30,-33.847585139721495,-12.855523273962861,Urban
37035_1#11,-35.58814060734067,81.64281004996214,Rural
37035_1#16,103.12362462968443,-17.624213636223736,Rural
36703_3#29,2.779922489639653,13.299582895825264,Rural
37035_2#14,93.3363563465577,-47.504571379937815,Urban
37035_2#9,-27.934155619210134,-10.570327414589785,Urban
37082_3#14,-8.29357840351327,-2.8698341002517127,Rural
37035_1#24,13.7198272751749,3.885775241515724,Rural
37035_1#3,59.00292664185676,-26.687980797079057,Rural
37082_1#25,-56.49102710292857,-15.152503132710436,Urban
37035_7#25,-20.912483486998838,-10.795622311237876,Rural
37035_2#27,-49.018051968716414,-13.606223399923447,Urban
37082_2#21,28.57350599503611,20.1110477025793,Rural
36703_3#5,-13.505938138297834,21.77273584651007,Urban
36703_3#12,-8.480520367476354,1.622017112318688,Rural
37082_2#5,-57.69497443718327,-9.289872187516762,Urban
37082_3#32,110.1750114924109,-44.70233969965168,Rural
37082_3#11,-49.06669612421022,-10.409325889217373,Rural
37082_3#13,14.70849160861762,6.749667631832314,Rural
37035_7#1,13.651366478669045,42.82892701499711,Rural
36703_3#27,19.842962185405455,-13.249810694951597,Rural
36703_3#17,-26.725434519106432,6.011196427806476,Rural
37082_2#22,37.611699021407105,24.55771687157577,Rural
37082_2#24,-35.19251433138181,6.819704615610114,Rural
37035_1#23,-43.85417685807571,1.8659536586882834,Rural
36703_3#25,-57.75174307751131,-6.211990635089838,Rural
37035_2#29,-34.98385344339531,-14.12240193460412,Urban
37082_1#24,-44.92526865450635,-11.967207790320218,Urban
37035_1#2,70.66106758022856,12.789211564961173,Rural
37035_1#20,-13.98053185593738,6.516629511355671,Rural
37035_1#13,11.57903517815642,-17.73254067029524,Rural
37082_3#6,-51.11985011679134,-8.995444214263669,Rural
36703_3#19,-16.563129019447928,-16.406915396148705,Rural
37035_1#7,-22.33919020256972,5.09872454864422,Rural
37082_1#31,-26.6944444844076,-4.389383052851986,Urban
37035_2#10,-33.3530876176347,-14.567037857173363,Urban
37035_2#26,-55.981049013897604,-11.682287559963104,Urban
37035_2#31,-20.727127606576,-21.371047958389024,Urban
37082_2#8,77.3126645161249,158.29071362238815,Urban
37082_2#26,21.701094247769905,68.38942557682532,Rural
37035_7#21,-12.577946111345131,49.79509687300622,Rural
37082_1#12,-32.99399181219995,-17.50567430650463,Urban
37082_3#23,9.346964430466052,33.12891739494286,Rural
37082_2#2,-0.936035553466058,-20.101679972698626,Urban
37035_7#14,-10.559227527148376,-11.5848823301564,Rural
37082_3#10,112.64183618793051,49.9185413191602,Rural
37082_2#25,13.839694621316713,98.09605941201485,Rural
36703_3#32,-34.185731255734936,-3.88632044337421,Rural
37082_2#12,-49.26244064888498,-4.892721815646075,Urban
37035_2#25,8.095390367644441,-22.93369920305139,Urban
37035_1#5,-14.738681338028051,8.050996870124115,Rural
37082_2#30,-11.61969541631161,1.3472206063231376,Rural
37082_3#22,-22.84795632235639,70.90775417136396,Rural
37082_3#9,-32.72686066231459,-0.9304076158897963,Rural
36703_3#22,6.397929688299091,11.847161345441783,Rural
37082_3#1,-8.782832776427377,25.627630154804518,Rural
37035_2#1,-4.278641280717699,-5.120098367813263,Urban
36703_3#7,21.216218831513764,-15.970995264565495,Urban
37082_2#15,-26.339057681042082,19.689076568962317,Urban
37035_7#11,-7.531666320214965,-2.193514656890259,Rural
37082_2#18,26.202735934704492,49.52095559402055,Rural
37082_1#30,-3.6004748566113975,-24.6560611264121,Urban
37035_7#12,-14.646832959224469,18.642242342459284,Rural
37035_7#23,-36.32274762927722,-12.327737661455066,Rural
37035_2#23,23.159472318141344,-33.201823054096955,Urban
37082_3#2,-34.07115584674428,-0.8857864886021789,Rural
37082_1#29,24.5557988729184,-8.749433564119697,Urban
37035_2#24,72.08056535527646,-24.33545664851511,Urban
37082_2#17,12.05928583290263,17.551716444983807,Rural
37082_3#25,-23.655635029131677,-7.106446206207772,Rural
37035_2#12,34.145593917796425,-1.007400879174329,Urban
37082_2#9,64.9923628286411,-9.389001255800727,Urban
37035_2#15,-39.57032023104191,-10.913019037345823,Urban
37035_1#25,62.25498649949741,26.402872076723714,Rural
36703_3#18,-28.52101360406678,-6.6776042736052625,Rural
37082_2#10,0.07137602563303509,0.16362398107560905,Urban
37082_3#29,66.56429792473376,37.1342236356827,Rural
37035_7#16,171.78850895456978,-72.94794702959523,Rural
37035_1#1,100.06302298392954,-35.9925563195097,Rural
37082_1#18,-50.511786562365515,-8.635765665058493,Urban
37082_1#11,-0.40632176225214606,-27.119983861062018,Urban
37082_2#28,83.65981762380521,-33.742269859033826,Rural
37035_7#15,-39.9495286548867,9.852059553513344,Rural
37035_7#2,-2.2755842279417497,-12.721962421249241,Rural
37035_1#15,-17.961863730524506,-4.974533963180188,Rural
37035_1#9,-33.85233822624872,1.8923596748695237,Rural
37035_2#18,-38.17292533741688,-10.872672590256164,Urban
37035_2#6,-16.59233290302266,-11.889356797876438,Urban
37082_1#9,-54.23570699647185,-9.92507484838388,Urban
36703_3#23,-12.87405375528085,3.7256116407323794,Rural
37035_1#4,-25.950456266558792,6.751714080449131,Rural
37035_1#6,-54.09220359326206,-1.20784163628258,Rural
37082_3#21,55.91372772487282,-2.7967192862410366,Rural
36703_3#31,-60.72550840225213,-9.913623995402245,Rural
37082_1#15,10.101369260700247,-25.642254576021642,Urban
37082_2#7,-46.6788373335178,-6.91635963151023,Urban
36703_3#3,-39.52476157653312,-13.914677456656017,Urban
37082_3#7,185.5145910267661,-0.5193267757644364,Rural
37082_2#32,61.435425799445625,50.6661859588341,Rural
37035_7#8,-11.267974207260368,-14.270624369852293,Rural
37082_1#27,-36.81311201329956,-15.703252871721714,Urban
37035_2#8,22.112110081925664,-22.90891541356662,Urban
37082_3#30,112.65423521309279,-14.184196986560131,Rural
36703_3#15,-15.475103617428001,-4.641346153231099,Rural
37082_2#11,-35.05520482119411,-6.5061513720833934,Urban
37035_2#19,-41.36858345787231,-14.059019478752223,Urban
37082_1#19,-22.660615492673887,-13.502168688635553,Urban
37082_3#5,-19.113449327167434,-15.935484761614648,Rural
37082_2#31,16.38756827062209,21.10912820960842,Rural
37035_7#5,-26.27795451471947,3.595949113485316,Rural
37082_2#29,29.65243999806501,-5.738648746359929,Rural
37082_1#23,6.49110822640899,-11.833224612086966,Urban
