,PC1,PC2,Lifestyle
37035_2#16,-77.4186600746729,76.08303969349384,Urban
37082_3#26,122.78162133752436,-82.05926270835056,Rural
37035_7#13,-93.29603143516465,28.439609396791987,Rural
37035_1#27,-40.449198568919925,-80.02477373985269,Rural
37082_1#17,89.09360416471559,89.6747070560294,Urban
37082_3#15,180.7948733207034,-67.1290208300319,Rural
37035_2#21,26.269816282931103,89.1795555449358,Urban
36703_3#14,-87.26611348458256,-114.01262938874883,Rural
37035_1#12,164.73298207237943,14.538335793161666,Rural
37035_2#3,57.08846474367559,104.14662646127294,Urban
37035_7#22,58.26900618412079,-115.61967893876654,Rural
37035_7#20,56.12837070880737,8.885898675835069,Rural
36703_3#16,171.16935286368275,43.11397488085399,Rural
36703_3#8,17.08307145308932,99.77313249793522,Urban
36703_3#26,19.188205338020357,29.95384548386139,Rural
37035_1#29,46.02850784612014,50.651635268625576,Urban
37082_2#1,-54.480936752002414,56.34742776053507,Urban
37082_3#28,-216.8944242070236,-210.83226848955997,Rural
37035_1#17,83.56468388868853,-95.74471835558845,Rural
37082_1#20,4.4104464002709225,145.93706941339715,Urban
37082_3#31,173.9134047950256,17.384681576443764,Rural
37035_2#13,-281.2927039521815,110.92870882924058,Urban
37082_1#22,-123.52463273673067,56.356708403203385,Urban
37082_1#32,55.870160649068794,102.69605449425985,Urban
37035_1#10,108.35795646682628,-125.4432585701164,Rural
37082_1#10,20.020251062491507,69.2826161134761,Urban
37035_7#24,-194.37048583124295,-67.94218121890187,Rural
36703_3#6,-288.7109630829291,-121.73896956501261,Urban
36703_3#24,-143.04190928014918,-145.03547826930503,Rural
37035_2#30,19.702148857917972,114.69343975591276,Urban
37082_2#27,-16.91625817674616,-101.73410497067738,Rural
37082_3#27,69.24556334624405,-119.80976254880152,Rural
37035_7#17,98.4278393368843,-81.10216261220286,Rural
37082_2#23,136.30712412490428,-1.0874363142436239,Rural
36703_3#28,-16.42057869746651,-17.083625112078867,Rural
37082_3#3,-185.02591253852302,-194.71399997603518,Rural
36703_3#2,-222.22169876417667,58.84346784736466,Urban
37035_1#30,-67.18363520900758,113.35297357935755,Urban
37035_1#11,-62.79328046174913,-171.5956440761028,Rural
37035_1#16,178.85855199354938,20.173545009243764,Rural
36703_3#29,53.223348980753286,-39.988974955310496,Rural
37035_2#14,130.18471953505352,133.82344497350667,Urban
37035_2#9,-99.12291753487452,63.35691909105133,Urban
37082_3#14,-13.486899004107364,-13.875930803989469,Rural
37035_1#24,115.70936642117204,-44.94787948665635,Rural
37035_1#3,75.91500823086061,55.06341614125736,Rural
37082_1#25,-229.36522420585894,132.61347078511739,Urban
37035_7#25,-41.587675651389326,-13.946975390748502,Rural
37035_2#27,-193.85693633661617,57.18363142661628,Urban
37082_2#21,143.18818107700915,-43.027180259792594,Rural
36703_3#5,3.4298080469078247,3.984961614437156,Urban
36703_3#12,66.80193108924149,-13.223369954986108,Rural
37082_2#5,-227.90008591351761,-3.6375121766240883,Urban
37082_3#32,135.8806633500701,83.61145803333926,Rural
37082_3#11,-85.00864038739424,-75.15413805546733,Rural
37082_3#13,113.05973344016024,-25.386581591892543,Rural
37035_7#1,103.82501817133418,-107.18028169447662,Rural
36703_3#27,106.23881854979848,34.97436953008318,Rural
36703_3#17,-29.811331023216155,-93.69610284056259,Rural
37082_2#22,151.4101504214358,-86.93398594232316,Rural
37082_2#24,-52.399249785228406,-159.03789956279508,Rural
37035_1#23,-63.75795265782538,-147.81847204472479,Rural
36703_3#25,-185.35645901603576,-105.71725983945826,Rural
37035_2#29,-150.7486159617751,84.29216222362061,Urban
37082_1#24,-163.49504442907644,78.09656187907835,Urban
37035_1#2,170.0296549376391,20.420774672711214,Rural
37035_1#20,37.54911270050896,-81.16196244530373,Rural
37035_1#13,92.86370169621088,48.92041114363869,Rural
37082_3#6,-112.27218853575633,-37.56137680408301,Rural
36703_3#19,-30.643286274150146,-38.22906868752466,Rural
37035_1#7,-1.0705207819754023,-125.44424430197309,Rural
37082_1#31,-33.68315890850599,54.151592803286086,Urban
37035_2#10,-41.68590951982651,91.57990678237243,Urban
37035_2#26,-162.13664865881512,52.86339709631524,Urban
37035_2#31,-57.038845379929214,172.39836236447752,Urban
37082_2#8,91.73644026840287,-40.61489616188962,Urban
37082_2#26,114.43022391982524,-113.2982253955334,Rural
37035_7#21,59.86649461503082,-117.56880502675098,Rural
37082_1#12,-105.91166756472037,138.2527029919591,Urban
37082_3#23,99.21216836077959,-86.97966142275575,Rural
37082_2#2,27.610754227344522,114.63887854821483,Urban
37035_7#14,33.73578945605742,47.02522420281297,Rural
37082_3#10,200.21548870703847,-27.74504702513277,Rural
37082_2#25,124.67767148376213,-93.89258066379765,Rural
36703_3#32,-12.239514421778143,-98.21510686181892,Rural
37082_2#12,-238.15599170370254,27.905013607797727,Urban
37035_2#25,51.903932395588235,99.51062045394706,Urban
37035_1#5,32.599880732115786,-70.83009939205309,Rural
37082_2#30,71.34278517080183,-62.54727468907648,Rural
37082_3#22,32.69292920701133,-168.6505680818315,Rural
37082_3#9,15.743737378261246,-99.52280058405367,Rural
36703_3#22,121.64292096425991,-33.78292332060398,Rural
37082_3#1,75.59750985538739,-78.5260772576899,Rural
37035_2#1,36.049685898471175,50.126487929391914,Urban
36703_3#7,75.30623077138128,76.28126956947871,Urban
37082_2#15,-93.9754502719316,-92.21585464694203,Urban
37035_7#11,-4.916840640238207,-7.415562256449067,Rural
37082_2#18,146.39889628767224,-85.49031487057057,Rural
37082_1#30,-44.61180066697334,107.8831829321742,Urban
37035_7#12,16.651534794314397,-68.50862338345001,Rural
37035_7#23,10.181313465047445,43.76014512089982,Rural
37035_2#23,52.42752800917341,137.82153643541412,Urban
37082_3#2,-165.4029635286555,-105.53443708094495,Rural
37082_1#29,64.81268306434158,51.404573883114935,Urban
37035_2#24,122.92531098058022,94.33928202164319,Urban
37082_2#17,120.6712166843595,-40.6862637568561,Rural
37082_3#25,-21.502685765109902,-34.379902595072366,Rural
37035_2#12,101.92723389219671,52.57969941453261,Urban
37082_2#9,127.05650213051972,76.54298693627767,Urban
37035_2#15,-75.03272736931537,70.05027733119883,Urban
37035_1#25,160.41940668148524,-19.956552315040586,Rural
36703_3#18,4.264033719892698,-56.14149875081794,Rural
37082_2#10,-101.68263869811734,33.09798497213234,Urban
37082_3#29,170.41652726836097,-65.59026622851772,Rural
37035_7#16,137.40395251574873,129.62834011744334,Rural
37035_1#1,151.42529179094947,61.31000331406891,Rural
37082_1#18,-244.10662694923525,11.8641163085329,Urban
37082_1#11,-142.17814441212425,40.43395748279268,Urban
37082_2#28,130.82535379452383,73.25307777154184,Rural
37035_7#15,-84.43889950252225,-155.57353335207847,Rural
37035_7#2,70.52973015838232,38.95671657877866,Rural
37035_1#15,-61.20525902187668,-29.96298163454017,Rural
37035_1#9,-4.4259075349940575,-135.16101386512042,Rural
37035_2#18,-82.68064452006705,108.4607701253241,Urban
37035_2#6,-12.671043293273723,82.74741509879058,Urban
37082_1#9,-306.03934358252815,-1.4795115825015732,Urban
36703_3#23,-22.040368355006446,-82.83081200574543,Rural
37035_1#4,43.515506751287674,-80.86094795900813,Rural
37035_1#6,-124.37872820749682,-169.45357192024056,Rural
37082_3#21,143.72476269101617,-12.105947753901164,Rural
36703_3#31,-195.38740582049138,-132.00589442669252,Rural
37082_1#15,11.65572874839797,140.7620286675194,Urban
37082_2#7,-205.14581311165537,-16.529703756362046,Urban
36703_3#3,-119.91197444260034,73.95729086613265,Urban
37082_3#7,221.69726220271025,12.43247080756224,Rural
37082_2#32,169.0440179649507,-70.92124657667955,Rural
37035_7#8,-6.172968357783686,53.10730114485968,Rural
37082_1#27,-91.58924927088728,112.99229225117038,Urban
37035_2#8,30.158449839607872,122.08024445238473,Urban
37082_3#30,179.16640617914388,20.682534489318,Rural
36703_3#15,-81.44818602909778,-41.67489846976719,Rural
37082_2#11,-49.5360073251425,48.22313037474133,Urban
37035_2#19,-177.10345727867994,86.89652562499845,Urban
37082_1#19,-72.41460683183476,79.42622688941852,Urban
37082_3#5,42.01877338890451,66.76900211672275,Rural
37082_2#31,110.015879352034,-88.08738006879372,Rural
37035_7#5,-23.50775577934467,-17.074893290530373,Rural
37082_2#29,141.77666642161043,3.0381319069212998,Rural
37082_1#23,-64.0381786940885,97.30454573744535,Urban
37082_2#13,-78.73319329307944,48.335012555883885,Urban
37082_3#8,222.3804012986246,35.836485335462626,Rural
37035_1#8,69.85923356173468,18.779036917960468,Rural
37082_2#14,-103.57679528060156,3.0177962666129217,Urban
37082_2#16,179.7070075570207,-24.588631438413362,Rural
36703_3#9,-28.56474407423382,84.78228221334274,Urban
37082_3#19,148.46534861773827,-74.7726430189352,Rural
37082_1#26,12.477220459918772,126.33289854215816,Urban
37035_2#2,-50.99574669485968,160.3599467105585,Urban
37082_1#16,-114.70365578600463,45.6997189046143,Urban
37082_2#19,51.87126757575044,-154.10284903743232,Rural
37082_1#28,-182.3228528337103,77.34082704433689,Urban
37035_2#20,-314.8858680819225,65.30473131632932,Urban
37035_7#4,154.72302813161954,15.457479609110607,Rural
37035_7#19,-72.61802793222147,-213.81467567680028,Rural
37082_2#6,-101.66965550806307,45.51877192210515,Urban
37082_2#3,-106.2894787280517,54.61966912829882,Urban
37082_3#17,24.395385022820452,-120.79134916855986,Rural
37082_3#20,-58.87665900966264,-167.98003212561775,Rural
37035_7#7,32.100613250604965,32.61395887241772,Rural
37082_1#21,-63.27365422583785,117.711947241946,Urban
37035_1#18,72.40894650235688,-97.10757960817878,Rural
37082_2#20,132.1144501422012,-75.1021532527015,Rural
37035_1#31,-124.84417481336935,46.96332123483046,Urban
37082_1#14,53.9142532901282,-9.6447966275252,Urban
37035_7#10,86.36348290086006,34.15171277086302,Rural
37035_2#7,32.14687686472948,76.08243091800306,Urban
37082_3#4,123.37743618532201,-22.865643519141013,Rural
36703_3#1,-91.27448640905048,129.74305275190082,Urban
37082_3#12,127.59054858230938,-15.394597532324758,Rural
36703_3#21,165.4783757982431,62.46069157780944,Rural
37035_2#11,-164.25910636726016,87.29928725218345,Urban
37035_1#32,88.30856464406324,75.0726613177247,Urban
37035_2#17,26.552365747209883,81.1200498399353,Urban
37035_2#28,84.15589924915554,104.11636699423121,Urban
36703_3#10,-367.38897254069514,-89.05272796011698,Urban
37035_2#32,-228.1976335488098,49.559334385949235,Urban
37035_2#4,-135.84947445320407,97.50218352830531,Urban
37082_3#24,64.06314838563087,-135.66381568748102,Rural
37035_1#14,208.59510741707658,19.027026008311307,Rural
37035_1#21,-180.1925153534288,-191.37208284351766,Rural
36703_3#30,141.1148110686704,17.154690949658324,Rural
37035_1#26,-110.96701503965586,-117.2640290101413,Rural
37035_1#22,95.88852554322392,24.892694714295953,Rural
37035_2#5,77.37864510472879,78.59742547627765,Urban
36703_3#13,-15.128778071502156,-3.5503123001061914,Rural
37035_7#9,10.623222351464841,-58.65497321954383,Rural
37082_1#13,16.541228618728788,107.17468303979267,Urban
37035_7#3,-41.95394902087635,8.520084448609861,Rural
37035_7#6,11.469069290062503,57.750600615803734,Rural
