# Pathway,PC1,PC2,contribution
PWY-6167: flavin biosynthesis II (archaea),-0.037999262466308845,0.21588354863930545,0.2538828111056143
PWY-6165: chorismate biosynthesis II (archaea),-0.04723341018934579,0.2063699594155285,0.2536033696048743
PWY-5196: factor 430 biosynthesis,-0.04046024386130022,0.20504097811173116,0.24550122197303137
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,-0.041498516035929765,0.19616221853296956,0.23766073456889933
PWY-6654: phosphopantothenate biosynthesis III (archaebacteria),-0.03954976541932332,0.1958592341757024,0.2354089995950257
PWY-5209: methyl-coenzyme M oxidation to CO2,-0.04236847434677668,0.19241949480141124,0.23478796914818792
METHANOGENESIS-PWY: methanogenesis from H2 and CO2,-0.04204094337337191,0.1926772272168595,0.23471817059023142
PWY-5198: factor 420 biosynthesis II (mycobacteria),-0.042367878370335094,0.18761920236012847,0.22998708073046356
PWY-6349: CDP-archaeol biosynthesis,-0.04334850103920272,0.1863097112325105,0.22965821227171324
PWY-8112: factor 420 biosynthesis I (archaea),-0.04202494510496373,0.1864452065297256,0.22847015163468934
P261-PWY: coenzyme M biosynthesis I,-0.04110061266441456,0.18728208360039428,0.22838269626480884
PWY-8113: 3PG-factor 420 biosynthesis,-0.044049659655781954,0.1833423340737605,0.22739199372954244
P241-PWY: coenzyme B biosynthesis,-0.04055670460374538,0.1848513672864105,0.22540807189015588
PWY-6160: 3-dehydroquinate biosynthesis II (archaea),-0.046089102106295146,0.17716144303758777,0.22325054514388293
PWY-6350: archaetidylinositol biosynthesis,-0.04383093404428829,0.17772723370663457,0.22155816775092285
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,-0.06545326804387386,-0.13366933994563784,0.1991226079895117
PWY-5130: 2-oxobutanoate degradation I,-0.06313811866944195,-0.13453147152228717,0.19766959019172914
PWY-7784: reductive acetyl coenzyme A pathway II (autotrophic methanogens),-0.03978355466167601,0.1421349523649583,0.1819185070266343
PWY-5101: L-isoleucine biosynthesis II,-0.058916025152072976,-0.11484208957037875,0.17375811472245173
PWY-6807: xyloglucan degradation II (exoglucanase),-0.04922836349599354,-0.11311396371717174,0.16234232721316527
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,0.04754444858539677,-0.10980013285314649,0.15734458143854327
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,-0.0531459415922742,-0.09253865049813711,0.14568459209041132
PWY-6883: pyruvate fermentation to butanol II (engineered),0.05026436407724805,0.09183265389309826,0.1420970179703463
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0.00634421810580845,0.13366656926906856,0.14001078737487702
PWY-5971: palmitate biosynthesis (type II fatty acid synthase),0.13300568097042245,0.006346770992118052,0.1393524519625405
PWY-6293: superpathway of L-cysteine biosynthesis (fungi),0.04125461704362326,0.09804772502026037,0.13930234206388362
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),0.12227067643062768,0.011220343668526355,0.13349102009915403
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,0.12047207549370717,-0.009558335908599598,0.13003041140230676
PWY-801: homocysteine and cysteine interconversion,0.03750003236596023,0.09029618967766535,0.1277962220436256
PWY-5723: Rubisco shunt,0.10832522563973652,0.01709285287130061,0.12541807851103715
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,0.12422525000034895,0.0009538499888390063,0.12517909998918797
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),0.11498399454896237,0.009528006191878904,0.12451200074084127
RUMP-PWY: formaldehyde oxidation I,-0.014647546734093356,0.10986250047737156,0.12451004721146491
PWY-6863: pyruvate fermentation to hexanol (engineered),-0.03198685108403803,0.09132109581527095,0.12330794689930899
P163-PWY: L-lysine fermentation to acetate and butanoate,-0.07421207129246443,-0.04822166443748675,0.12243373572995118
FAO-PWY: fatty acid &beta;-oxidation I (generic),0.1183915119757721,0.0039933992494534665,0.12238491122522557
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,0.11423843186615498,0.005246985158171784,0.11948541702432677
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.10670464623115047,0.010026297444583094,0.11673094367573357
PWY-6803: phosphatidylcholine acyl editing,0.08624920891645457,-0.029808147714083705,0.11605735663053827
ORNDEG-PWY: superpathway of ornithine degradation,0.11092005251642786,0.0037498069969408294,0.1146698595133687
PWY-6531: mannitol cycle,0.07349859229142405,-0.03998343947246248,0.11348203176388653
METH-ACETATE-PWY: methanogenesis from acetate,-0.02515411321519682,0.08773902501693001,0.11289313823212684
PWY-5918: superpathway of heme b biosynthesis from glutamate,0.06833893538786186,-0.043138844034638024,0.11147777942249988
PWY-7942: 5-oxo-L-proline metabolism,0.08524573391150914,-0.025610121579103837,0.11085585549061297
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate,0.10175479791745932,0.008287749746240674,0.1100425476637
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,0.10175479791745932,0.008287749746240669,0.11004254766369999
GLYOXYLATE-BYPASS: glyoxylate cycle,0.09206765633234676,-0.017488837428038608,0.10955649376038537
TCA: TCA cycle I (prokaryotic),0.09601751565286527,-0.01350868318915863,0.1095261988420239
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction),-0.057286600409698664,-0.052047115886224134,0.1093337162959228
AST-PWY: L-arginine degradation II (AST pathway),0.10191999545394524,0.0065520750825002125,0.10847207053644545
THREOCAT-PWY: superpathway of L-threonine metabolism,0.0897668726702499,0.01863899946898375,0.10840587213923364
PWY66-430: myristate biosynthesis (mitochondria),0.09252470585363096,0.015319212597607884,0.10784391845123883
PWY-7118: chitin deacetylation,0.10046012554828293,-0.007383454833792004,0.10784358038207494
PWY-5030: L-histidine degradation III,-0.05763147339652781,-0.04916906301376004,0.10680053641028786
PWY-5845: superpathway of menaquinol-9 biosynthesis,0.09700595830771501,0.008407183536992083,0.1054131418447071
PWY-5850: superpathway of menaquinol-6 biosynthesis,0.09700595830771501,0.008407183536992083,0.1054131418447071
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle),0.07264909815273642,-0.03199224698754467,0.10464134514028109
