,PC1,PC2,Lifestyle
36703_3#10,5.319668563423865,-15.6093665318953,Urban
36703_3#12,23.606059145153242,-6.107849398312602,Rural
36703_3#13,3.0640825421249476,-7.259926772335086,Rural
36703_3#14,-0.10593349110102045,-0.9422479494275682,Rural
36703_3#15,-15.853303372310778,-1.648872857649507,Rural
36703_3#16,-12.410769083890262,13.844578346819375,Rural
36703_3#17,11.94931106873129,-2.490313081332935,Rural
36703_3#18,21.659634938546056,-4.2432021520690055,Rural
36703_3#19,17.472584050017264,-1.9783329731799417,Rural
36703_3#1,-20.296815751371895,-14.221923600777465,Urban
36703_3#21,-25.905548089761776,19.888937999130853,Rural
36703_3#22,-18.14584174345592,16.033106150134167,Rural
36703_3#23,15.517414348310385,-1.143401947974364,Rural
36703_3#24,29.01810598656096,-2.990309212794069,Rural
36703_3#25,35.77550191178642,-5.543519343949059,Rural
36703_3#26,21.489658846312324,-4.769000408718279,Rural
36703_3#27,-14.757707562473888,19.568413905961023,Rural
36703_3#28,11.341931838305893,-3.8293796899959864,Rural
36703_3#29,25.647537500516968,6.848317406979062,Rural
36703_3#2,23.172197427373895,-11.465056948587474,Urban
36703_3#30,21.70979638608951,12.520877025914984,Rural
36703_3#31,0.642035926700519,-0.8191567703682697,Rural
36703_3#32,-5.424321653218525,0.5701027329274795,Rural
36703_3#3,-13.791008936805,-7.63174478141312,Urban
36703_3#5,17.557159067236306,9.64520053569952,Urban
36703_3#6,-3.0711886603108156,-7.232331735241558,Urban
36703_3#7,12.211643389348778,3.043064002969959,Urban
36703_3#8,-19.03984359749613,-13.520594097585281,Urban
36703_3#9,-17.017163647498123,-15.565402263634791,Urban
37035_1#10,18.076017395576294,19.395856766365743,Rural
37035_1#11,37.5564022617523,-2.454356122365783,Rural
37035_1#12,21.45756073359068,12.74559386099834,Rural
37035_1#13,22.678604381892352,6.717325338885645,Rural
37035_1#14,-25.529846199144373,22.921463620242974,Rural
37035_1#15,17.09655194725824,11.989345368095963,Rural
37035_1#16,9.543974215570733,6.553136544709116,Rural
37035_1#17,23.7209233200778,12.163583257128536,Rural
37035_1#18,26.49477311303127,8.440018888054157,Rural
37035_1#1,5.333127305454166,-6.6090226368797325,Rural
37035_1#20,-4.469481500244358,-2.947192259168567,Rural
37035_1#21,-9.91194695521352,1.4118963288516881,Rural
37035_1#22,-16.311186048136225,1.7355581376426046,Rural
37035_1#23,22.938536398475236,-2.9812438661715457,Rural
37035_1#24,-22.58491112591701,14.555757743430869,Rural
