,PC1,PC2,contribution
Phocaeicola,0.19311087678680394,0.025221700106249748,0.2183325768930537
Thomasclavelia,0.10911189474486054,0.0888285250645935,0.19794041980945404
Bacteroides,0.18484009521308678,-0.0113093169177989,0.1961494121308857
Faecalibacillus,0.033768869270185686,0.15657983354706334,0.19034870281724903
GGB3109,0.10062147601595163,0.08652697817234598,0.18714845418829762
Ruthenibacterium,0.13660971383026108,0.048084869360934056,0.18469458319119514
Anaerostipes,0.06710078796767599,0.11688407900752402,0.1839848669752
GGB9708,0.031943677532027544,-0.15139728307249856,0.1833409606045261
Alistipes,0.1763432257932965,-0.00619502867096613,0.18253825446426264
Eggerthella,0.07878322079332561,0.10318509209799069,0.18196831289131632
GGB9747,0.03982653408365192,-0.13386317337748804,0.17368970746113996
Streptococcus,-0.03627470138289603,0.13510913081007497,0.171383832192971
Flavonifractor,0.11229197875199856,0.0575535540536453,0.16984553280564385
GGB4888,-0.11777852034141184,0.051503087390453374,0.1692816077318652
GGB9370,-0.08150024007359252,0.08687066476824522,0.16837090484183775
Senegalimassilia,-0.09769868232772777,0.07020363953241575,0.16790232186014353
Sarcina,-0.06504386666307467,0.09986463465529496,0.16490850131836965
Dialister,0.10271706406419469,0.061725571423180546,0.16444263548737523
GGB3304,0.026309486721658924,-0.13810320989099698,0.1644126966126559
Methanobrevibacter,-0.08108112784414949,-0.08302506950413922,0.1641061973482887
Parabacteroides,0.16123545773287096,-0.0021367016735675108,0.16337215940643846
Paratractidigestivibacter,-0.11489760405997175,0.046968548231287946,0.1618661522912597
Dysosmobacter,0.07996624820369098,-0.08103479602445411,0.1610010442281451
GGB143497,0.04108624536662492,-0.1187064437475367,0.1597926891141616
GGB3588,-0.08531227855126275,0.07268632341942012,0.15799860197068288
Enterococcus,-0.044874914488922134,0.11096041974744252,0.15583533423636464
GGB9699,0.10006935100928342,-0.054739048812589786,0.15480839982187322
Brotocaccenecus,0.03383341699657022,-0.11923454923706667,0.1530679662336369
GGB9707,0.05381888563292887,-0.09747544586109355,0.15129433149402244
GGB3306,-0.059705214910547366,-0.09131726475204396,0.15102247966259133
Gordonibacter,0.07403956855876752,0.07626897068611713,0.15030853924488463
Akkermansia,0.10291833724223971,0.04589611010131602,0.14881444734355573
GGB4672,-0.11308052805355756,0.03509238475616197,0.14817291280971953
Intestinibacter,-0.06473925999694831,0.0831601058916359,0.1478993658885842
Oscillibacter,0.04007262728241586,-0.10769661685525402,0.14776924413766987
Slackia,-0.08942632099381013,0.05826886082333536,0.1476951818171455
Actinomyces,-0.03267561159348825,0.11474979923502471,0.14742541082851296
Ellagibacter,-0.11170567826673568,0.03505383159867608,0.14675950986541175
GGB9712,0.01440063012349694,-0.13178365591296878,0.14618428603646572
GGB9380,-0.08810593350654482,0.05657949249389485,0.14468542600043965
GGB1627,-0.08762603028261512,-0.05695994715138455,0.14458597743399967
Hominilimicola,0.09608732606530118,0.04787581335083775,0.14396313941613892
GGB9634,0.004568930396477211,-0.13897319653878862,0.14354212693526583
Bifidobacterium,0.05911374547908036,0.08260772626890193,0.1417214717479823
GGB4884,-0.09008681278509179,0.050633417434813255,0.14072023021990504
Holdemania,0.08762023166343948,0.05213942765454008,0.13975965931797957
Mogibacterium,-0.0854695590288456,0.05389441950179634,0.13936397853064192
GGB9636,-0.02757158898656377,-0.1109434753916991,0.1385150643782629
GGB9602,0.021134532855293393,-0.11734970433280086,0.13848423718809424
Phascolarctobacterium,0.09849595179508243,-0.03917137949709136,0.1376673312921738
Hydrogenoanaerobacterium,0.08939470357123667,0.047148793916216375,0.13654349748745304
Odoribacter,0.13267999516259948,0.0036011377957425083,0.136281132958342
Barnesiella,0.12284795185236916,0.011394612162823845,0.134242564015193
GGB3321,0.017357254489156246,-0.11587888804739872,0.13323614253655497
GGB82668,-0.07663608202690872,0.05570380258210397,0.1323398846090127
GGB4456,-0.08133002240518243,0.0494339215053195,0.13076394391050195
Phoenicibacter,-0.0723840676878749,0.05735252248001156,0.12973659016788647
Vescimonas,0.050713661181309586,-0.07900678923954,0.1297204504208496
Romboutsia,-0.05109373123347227,0.07817560968462683,0.1292693409180991
Rothia,-0.0376014182994427,0.08999108198057947,0.12759250028002217
GGB9642,-0.06618973091190657,-0.061239500619325093,0.12742923153123165
GGB4642,-0.10483095967241651,-0.022368717312929075,0.1271996769853456
Pilosibacter,0.11035108689754691,0.016742099450208263,0.12709318634775518
Holdemanella,-0.1109267025492056,0.01611993111568979,0.12704663366489538
Parolsenella,-0.08478190068556055,0.04149387976742448,0.12627578045298504
GGB9293,0.0328382851866097,-0.0932788396661676,0.1261171248527773
GGB3653,0.06198345934677808,-0.06384714787362245,0.12583060722040051
Hominiventricola,0.118313464529348,0.00697877118579518,0.1252922357151432
GGB9618,0.02495820786360893,-0.1003034309026258,0.12526163876623475
GGB9677,-0.012087672958825879,-0.11306336632618584,0.12515103928501173
Enterocloster,0.06376031133174231,0.06117605955787311,0.12493637088961543
GGB9691,-0.0125243284346489,-0.11225685384297276,0.12478118227762167
GGB9627,0.05701874309452133,-0.06679477150709412,0.12381351460161545
Lawsonibacter,0.10043938978109766,0.022995331527968628,0.1234347213090663
GGB9715,0.033671183448937894,-0.08905079239445358,0.12272197584339148
Lachnoclostridium,0.051368885410677766,0.07089493624926306,0.12226382165994082
