,PC1,PC2,Lifestyle
36703_3#10,28.002403089880417,22.768163671592845,Urban
36703_3#12,-19.119979515279393,4.295450030439197,Rural
36703_3#13,-11.878322477162259,10.84108262757667,Rural
36703_3#14,-6.6898816472037455,26.295098292004816,Rural
36703_3#15,0.1510251703238662,25.95856841655263,Rural
36703_3#16,-14.061683795639743,-37.41534772856614,Rural
36703_3#17,-5.383673458127235,21.029335319788437,Rural
36703_3#18,-21.707963991882437,15.45894103827399,Rural
36703_3#19,-3.12022529448928,24.908616542638534,Rural
36703_3#1,45.75216652809427,4.841853900714645,Urban
36703_3#21,-23.01076612165523,-31.10030633908958,Rural
36703_3#22,-32.152438649990785,-12.715790273355251,Rural
36703_3#23,-9.198327598349417,27.869367925321594,Rural
36703_3#24,-23.429675931852834,24.47054500981562,Rural
36703_3#25,-14.439803002783764,18.640532126504194,Rural
36703_3#26,-17.794392202626334,-9.962791851609419,Rural
36703_3#27,-27.36276532107075,-26.33187580154168,Rural
36703_3#28,-28.09360475847909,9.1520098755062,Rural
36703_3#29,-24.693419279025868,-0.2081696356074192,Rural
36703_3#2,30.928834563293417,16.663236155099096,Urban
36703_3#30,-24.021066823065457,-24.179561836683202,Rural
36703_3#31,-25.42387975135721,24.07183388795256,Rural
36703_3#32,-31.66080261924508,24.882238913884173,Rural
36703_3#3,20.125910669634706,-6.173680436281525,Urban
36703_3#5,25.701002614005898,9.062781722493233,Urban
36703_3#6,8.991360043073394,18.864069735058262,Urban
36703_3#7,39.22470466623772,-5.375104460287539,Urban
36703_3#8,48.1687144654252,-1.4219753626670206,Urban
36703_3#9,40.894570389985,1.4184455360028423,Urban
37035_1#10,-39.13548493619627,6.636509898680147,Rural
37035_1#11,-27.520568005921593,17.768641456611117,Rural
37035_1#12,-24.13407402446573,-25.30389446850731,Rural
37035_1#13,-18.596741288866248,-32.713711482180855,Rural
37035_1#14,-35.107582380790625,-38.64370070391358,Rural
37035_1#15,-8.02236150566928,-2.7512385389894725,Rural
37035_1#16,-21.50627134520495,-41.02748816966146,Rural
37035_1#17,-38.47515524419671,2.216551424047146,Rural
37035_1#18,-38.92179042631876,12.602196617551124,Rural
37035_1#1,-12.729920492081396,-33.85974948389068,Rural
37035_1#20,-27.775882616728214,24.219013071139504,Rural
