,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesFull
2763670,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Wujia,chipingensis,Wujia chipingensis
166486,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,intestinalis,Roseburia intestinalis
33043,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,eutactus,Coprococcus eutactus
853,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,prausnitzii,Faecalibacterium prausnitzii
411483,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,duncaniae,Faecalibacterium duncaniae
33025,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,faecium,Phascolarctobacterium faecium
2582419,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,hominis,Dialister hominis
437897,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,funiformis,Megamonas funiformis
150055,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,lutetiensis,Streptococcus lutetiensis
1623,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,ruminis,Ligilactobacillus ruminis
97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,mucosae,Limosilactobacillus mucosae
137591,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,cibaria,Weissella cibaria
1982626,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,intestinalis,Faecalibacillus intestinalis
100886,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,mitsuokai,Catenibacterium mitsuokai
216816,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum,Bifidobacterium longum
28026,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudocatenulatum,Bifidobacterium pseudocatenulatum
1680,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis,Bifidobacterium adolescentis
1681,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Bifidobacterium bifidum
1689,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,dentium,Bifidobacterium dentium
1683,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,angulatum,Bifidobacterium angulatum
1871022,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,massiliensis,Parolsenella massiliensis
1944646,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Phoenicibacter,congonensis,Phoenicibacter congonensis
821,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,vulgatus,Phocaeicola vulgatus
357276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,dorei,Phocaeicola dorei
817,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,Bacteroides fragilis
820,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis,Bacteroides uniformis
46506,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,stercoris,Bacteroides stercoris
823,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis,Parabacteroides distasonis
328813,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,onderdonkii,Alistipes onderdonkii
165179,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,Prevotella copri
454154,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,clara,Paraprevotella clara
562,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli,Escherichia coli
573,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,pneumoniae,Klebsiella pneumoniae
239935,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,muciniphila,Akkermansia muciniphila
