Species,Sample,Contamination,Completeness
Ruminococcus_E bromii_B,36703_3#12,1.45413870246085,99.32885906040268
Bifidobacterium adolescentis,36703_3#12,0.0,0.0
Catenibacterium mitsuokai,36703_3#12,0.0,0.0
Eubacterium_R sp000433975,36703_3#12,0.0,0.0
Escherichia coli,36703_3#12,0.0,0.0
Coprococcus eutactus_A,36703_3#12,0.0,0.0
Ligilactobacillus ruminis,36703_3#12,0.0,0.0
Ruminococcus_E sp003526955,36703_3#12,0.0,0.0
UBA3375 sp900551955,36703_3#12,0.0,0.0
Treponema_D succinifaciens,36703_3#12,0.0,0.0
Treponema_D sp900541945,36703_3#12,0.0,0.0
Ruminococcus_E bromii_B,36703_3#13,2.684563758389262,96.64429530201342
Bifidobacterium adolescentis,36703_3#13,0.0,0.0
Catenibacterium mitsuokai,36703_3#13,0.0,0.0
Eubacterium_R sp000433975,36703_3#13,0.0,0.0
Escherichia coli,36703_3#13,0.0,0.0
Coprococcus eutactus_A,36703_3#13,0.0,0.0
Ligilactobacillus ruminis,36703_3#13,0.0,0.0
Ruminococcus_E sp003526955,36703_3#13,0.0,0.0
UBA3375 sp900551955,36703_3#13,0.0,0.0
Treponema_D succinifaciens,36703_3#13,0.0,0.0
Treponema_D sp900541945,36703_3#13,0.0,0.0
Ruminococcus_E bromii_B,36703_3#15,1.314317673378076,99.32885906040268
Bifidobacterium adolescentis,36703_3#15,0.22727272727272727,99.3939393939394
Catenibacterium mitsuokai,36703_3#15,0.0,0.0
Eubacterium_R sp000433975,36703_3#15,0.0,0.0
Escherichia coli,36703_3#15,0.0,0.0
Coprococcus eutactus_A,36703_3#15,0.0,0.0
Ligilactobacillus ruminis,36703_3#15,0.0,0.0
Ruminococcus_E sp003526955,36703_3#15,0.0,0.0
UBA3375 sp900551955,36703_3#15,0.0,0.0
Treponema_D succinifaciens,36703_3#15,0.0,0.0
Treponema_D sp900541945,36703_3#15,0.0,0.0
Ruminococcus_E bromii_B,36703_3#22,1.0677242220866383,99.32885906040268
Bifidobacterium adolescentis,36703_3#22,0.0,0.0
Catenibacterium mitsuokai,36703_3#22,1.9811320754716981,99.05660377358491
Eubacterium_R sp000433975,36703_3#22,0.5033557046979866,97.04850518608907
Escherichia coli,36703_3#22,0.0,0.0
Coprococcus eutactus_A,36703_3#22,0.0,0.0
Ligilactobacillus ruminis,36703_3#22,0.0,0.0
Ruminococcus_E sp003526955,36703_3#22,0.0,0.0
UBA3375 sp900551955,36703_3#22,0.0,0.0
Treponema_D succinifaciens,36703_3#22,0.0,0.0
Treponema_D sp900541945,36703_3#22,0.0,0.0
Ruminococcus_E bromii_B,36703_3#23,3.1879194630872485,98.65771812080537
Bifidobacterium adolescentis,36703_3#23,0.0,0.0
Catenibacterium mitsuokai,36703_3#23,0.0,0.0
Eubacterium_R sp000433975,36703_3#23,0.0,0.0
Escherichia coli,36703_3#23,0.0,0.0
Coprococcus eutactus_A,36703_3#23,0.0,0.0
Ligilactobacillus ruminis,36703_3#23,0.0,0.0
Ruminococcus_E sp003526955,36703_3#23,0.0,0.0
UBA3375 sp900551955,36703_3#23,0.0,0.0
Treponema_D succinifaciens,36703_3#23,0.0,0.0
Treponema_D sp900541945,36703_3#23,0.0,0.0
Ruminococcus_E bromii_B,36703_3#24,0.0,0.0
Bifidobacterium adolescentis,36703_3#24,0.0,0.0
Catenibacterium mitsuokai,36703_3#24,0.0,0.0
Eubacterium_R sp000433975,36703_3#24,0.0,0.0
Escherichia coli,36703_3#24,0.28526000748222974,99.96141975308642
Coprococcus eutactus_A,36703_3#24,0.0,0.0
Ligilactobacillus ruminis,36703_3#24,0.0,0.0
Ruminococcus_E sp003526955,36703_3#24,0.0,0.0
UBA3375 sp900551955,36703_3#24,0.0,0.0
Treponema_D succinifaciens,36703_3#24,0.0,0.0
Treponema_D sp900541945,36703_3#24,0.0,0.0
Ruminococcus_E bromii_B,36703_3#25,0.0,0.0
Bifidobacterium adolescentis,36703_3#25,0.0,0.0
Catenibacterium mitsuokai,36703_3#25,0.0,0.0
Eubacterium_R sp000433975,36703_3#25,0.0,0.0
Escherichia coli,36703_3#25,1.4454694935579044,99.96141975308642
Coprococcus eutactus_A,36703_3#25,0.0,0.0
Ligilactobacillus ruminis,36703_3#25,0.0,0.0
Ruminococcus_E sp003526955,36703_3#25,0.0,0.0
UBA3375 sp900551955,36703_3#25,0.0,0.0
Treponema_D succinifaciens,36703_3#25,0.0,0.0
Treponema_D sp900541945,36703_3#25,0.0,0.0
Ruminococcus_E bromii_B,36703_3#26,0.0,0.0
Bifidobacterium adolescentis,36703_3#26,0.0,0.0
Catenibacterium mitsuokai,36703_3#26,0.0,0.0
Eubacterium_R sp000433975,36703_3#26,0.0,0.0
Escherichia coli,36703_3#26,0.0,0.0
