number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
0,0.102757408054886,2025-03-03 19:26:05.937021,2025-03-03 19:26:07.251117,0 days 00:00:01.314096,gaussian_mixture,presence,105.0,6,COMPLETE
1,0.1001548071651713,2025-03-03 19:26:07.252117,2025-03-03 19:26:08.832565,0 days 00:00:01.580448,kmeans,presence,0.0,6,COMPLETE
2,0.06854746905074002,2025-03-03 19:26:08.834565,2025-03-03 19:26:10.355570,0 days 00:00:01.521005,gaussian_mixture,presence,15.0,6,COMPLETE
3,0.24468460754173377,2025-03-03 19:26:10.356556,2025-03-03 19:26:10.524234,0 days 00:00:00.167678,gaussian_mixture,abundance,1.35,2,COMPLETE
4,0.27054944356715377,2025-03-03 19:26:10.525624,2025-03-03 19:26:10.707193,0 days 00:00:00.181569,kmeans,abundance,0.65,6,COMPLETE
5,0.02468591018902272,2025-03-03 19:26:10.708189,2025-03-03 19:26:12.013076,0 days 00:00:01.304887,gaussian_mixture,presence,20.0,4,COMPLETE
6,0.37594230111740956,2025-03-03 19:26:12.013076,2025-03-03 19:26:12.186660,0 days 00:00:00.173584,kmeans,abundance,0.65,2,COMPLETE
7,0.07191041313799582,2025-03-03 19:26:12.188466,2025-03-03 19:26:13.465658,0 days 00:00:01.277192,gaussian_mixture,presence,60.0,4,COMPLETE
8,0.32766427700689543,2025-03-03 19:26:13.466654,2025-03-03 19:26:13.639313,0 days 00:00:00.172659,gaussian_mixture,abundance,1.1500000000000001,2,COMPLETE
9,0.11125914168365596,2025-03-03 19:26:13.640311,2025-03-03 19:26:14.566033,0 days 00:00:00.925722,kmeans,presence,95.0,5,COMPLETE
10,0.23898860165679287,2025-03-03 19:26:14.567034,2025-03-03 19:26:14.748629,0 days 00:00:00.181595,kmeans,abundance,0.65,3,COMPLETE
11,0.30135317174667764,2025-03-03 19:26:14.749358,2025-03-03 19:26:14.917954,0 days 00:00:00.168596,kmeans,abundance,1.3,2,COMPLETE
12,0.242450200795128,2025-03-03 19:26:14.918762,2025-03-03 19:26:15.105678,0 days 00:00:00.186916,kmeans,abundance,0.8,3,COMPLETE
13,0.42587254917592476,2025-03-03 19:26:15.106748,2025-03-03 19:26:15.287933,0 days 00:00:00.181185,gaussian_mixture,abundance,1.25,2,COMPLETE
14,0.5321842316752143,2025-03-03 19:26:15.288742,2025-03-03 19:26:15.465044,0 days 00:00:00.176302,gaussian_mixture,abundance,1.85,3,COMPLETE
15,0.37955091774537286,2025-03-03 19:26:15.465044,2025-03-03 19:26:15.650118,0 days 00:00:00.185074,gaussian_mixture,abundance,1.9000000000000001,3,COMPLETE
16,0.501423829183312,2025-03-03 19:26:15.651120,2025-03-03 19:26:15.832313,0 days 00:00:00.181193,gaussian_mixture,abundance,1.85,3,COMPLETE
17,0.5170359597980344,2025-03-03 19:26:15.833317,2025-03-03 19:26:16.013717,0 days 00:00:00.180400,gaussian_mixture,abundance,1.9000000000000001,3,COMPLETE
18,0.5193689530303309,2025-03-03 19:26:16.015699,2025-03-03 19:26:16.203120,0 days 00:00:00.187421,gaussian_mixture,abundance,1.9000000000000001,4,COMPLETE
19,0.5347336619234055,2025-03-03 19:26:16.205115,2025-03-03 19:26:16.386782,0 days 00:00:00.181667,gaussian_mixture,abundance,2.2,5,COMPLETE
20,0.34518761729112246,2025-03-03 19:26:16.387782,2025-03-03 19:26:16.566507,0 days 00:00:00.178725,gaussian_mixture,abundance,2.2,5,COMPLETE
21,0.46593623456073896,2025-03-03 19:26:16.567309,2025-03-03 19:26:16.777461,0 days 00:00:00.210152,gaussian_mixture,abundance,2.25,5,COMPLETE
22,0.5188608471672009,2025-03-03 19:26:16.779467,2025-03-03 19:26:17.008903,0 days 00:00:00.229436,gaussian_mixture,abundance,1.6500000000000001,4,COMPLETE
23,0.44723363364543633,2025-03-03 19:26:17.009905,2025-03-03 19:26:17.207723,0 days 00:00:00.197818,gaussian_mixture,abundance,2.2,5,COMPLETE
24,0.49778549701142893,2025-03-03 19:26:17.209321,2025-03-03 19:26:17.406797,0 days 00:00:00.197476,gaussian_mixture,abundance,1.6,4,COMPLETE
25,0.4862703560005307,2025-03-03 19:26:17.407792,2025-03-03 19:26:17.588353,0 days 00:00:00.180561,gaussian_mixture,abundance,2.4000000000000004,4,COMPLETE
26,0.4164131841311118,2025-03-03 19:26:17.589342,2025-03-03 19:26:17.769597,0 days 00:00:00.180255,gaussian_mixture,abundance,2.4000000000000004,5,COMPLETE
27,0.49733733035341815,2025-03-03 19:26:17.770595,2025-03-03 19:26:17.960955,0 days 00:00:00.190360,gaussian_mixture,abundance,1.6,5,COMPLETE
28,0.4676964126581984,2025-03-03 19:26:17.961951,2025-03-03 19:26:18.142709,0 days 00:00:00.180758,gaussian_mixture,abundance,2.0500000000000003,3,COMPLETE
29,0.03805242927375198,2025-03-03 19:26:18.143716,2025-03-03 19:26:19.537171,0 days 00:00:01.393455,gaussian_mixture,presence,35.0,4,COMPLETE
30,0.4455034917070459,2025-03-03 19:26:19.538169,2025-03-03 19:26:19.722791,0 days 00:00:00.184622,gaussian_mixture,abundance,1.7000000000000002,4,COMPLETE
31,0.4274726527700599,2025-03-03 19:26:19.723799,2025-03-03 19:26:19.906897,0 days 00:00:00.183098,gaussian_mixture,abundance,1.55,4,COMPLETE
32,0.3683897324834472,2025-03-03 19:26:19.907904,2025-03-03 19:26:20.089163,0 days 00:00:00.181259,gaussian_mixture,abundance,2.0500000000000003,5,COMPLETE
33,0.4876253310548508,2025-03-03 19:26:20.090104,2025-03-03 19:26:20.271280,0 days 00:00:00.181176,gaussian_mixture,abundance,1.75,4,COMPLETE
