antibiotic,Rural,Urban,diff
2'-N-ethylnetilmicin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
5-episisomicin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
acriflavine,0.2689075630252101,0.19753086419753085,-0.07137669882767922
amikacin,0.15126050420168066,0.1728395061728395,0.021579001971158834
amoxicillin,0.0,0.012345679012345678,0.012345679012345678
ampicillin,0.2689075630252101,0.20987654320987653,-0.05903101981533354
azidamfenicol,0.01680672268907563,0.012345679012345678,-0.004461043676729951
azithromycin,0.2605042016806723,0.5432098765432098,0.28270567486253756
bacitracin,0.06722689075630252,0.08641975308641975,0.01919286233011723
bacitracin A,0.06722689075630252,0.08641975308641975,0.01919286233011723
bacitracin B,0.06722689075630252,0.08641975308641975,0.01919286233011723
bacitracin F,0.06722689075630252,0.08641975308641975,0.01919286233011723
benzalkonium chloride,0.2857142857142857,0.48148148148148145,0.19576719576719576
butirosin,0.0,0.06172839506172839,0.06172839506172839
cefaclor,0.21008403361344538,0.18518518518518517,-0.024898848428260206
cefalotin,0.2689075630252101,0.20987654320987653,-0.05903101981533354
cefdinir,0.21008403361344538,0.18518518518518517,-0.024898848428260206
cefditoren,0.21008403361344538,0.18518518518518517,-0.024898848428260206
cefepime,0.2184873949579832,0.1728395061728395,-0.0456478887851437
cefotaxime,0.21008403361344538,0.19753086419753085,-0.012553169415914528
cefoxitin,0.008403361344537815,0.0,-0.008403361344537815
ceftazidime,0.2605042016806723,0.20987654320987653,-0.050627658470795756
ceftolozane,0.0,0.024691358024691357,0.024691358024691357
ceftriaxone,0.23529411764705882,0.18518518518518517,-0.050108932461873645
cefuroxime,0.0,0.024691358024691357,0.024691358024691357
cephaloridine,0.0,0.037037037037037035,0.037037037037037035
chloramphenicol,0.3445378151260504,0.38271604938271603,0.03817823425666561
chlorhexidine,0.2184873949579832,0.1728395061728395,-0.0456478887851437
chlortetracycline,0.7394957983193278,0.8641975308641975,0.12470173254486971
ciprofloxacin,0.2857142857142857,0.20987654320987653,-0.07583774250440917
clarithromycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
clindamycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
cloxacillin,0.25210084033613445,0.2222222222222222,-0.029878618113912236
colistin A,0.24369747899159663,0.18518518518518517,-0.05851229380641146
colistin B,0.24369747899159663,0.18518518518518517,-0.05851229380641146
dalfopristin,0.05042016806722689,0.48148148148148145,0.4310613134142546
defensin,0.01680672268907563,0.0,-0.01680672268907563
demeclocycline,0.7394957983193278,0.8641975308641975,0.12470173254486971
dibekacin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
dirithromycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
doxycycline,0.773109243697479,0.8641975308641975,0.09108828716671846
enoxacin,0.1092436974789916,0.037037037037037035,-0.07220666044195456
enrofloxacin,0.2689075630252101,0.19753086419753085,-0.07137669882767922
ertapenem,0.2184873949579832,0.1728395061728395,-0.0456478887851437
erythromycin,0.3025210084033613,0.5925925925925926,0.29007158418923124
florfenicol,0.06722689075630252,0.09876543209876543,0.03153854134246291
fosfomycin,0.16806722689075632,0.09876543209876543,-0.06930179479199089
gatifloxacin,0.008403361344537815,0.04938271604938271,0.0409793547048449
gemifloxacin,0.025210084033613446,0.0,-0.025210084033613446
gentamicin,0.226890756302521,0.24691358024691357,0.02002282394439256
gentamicin B,0.0,0.06172839506172839,0.06172839506172839
gentamicin C,0.2184873949579832,0.1728395061728395,-0.0456478887851437
grepafloxacin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
griseoviridin,0.05042016806722689,0.48148148148148145,0.4310613134142546
imipenem,0.2184873949579832,0.1728395061728395,-0.0456478887851437
isepamicin,0.0,0.06172839506172839,0.06172839506172839
kanamycin A,0.2184873949579832,0.18518518518518517,-0.03330220977279802
levofloxacin,0.03361344537815126,0.04938271604938271,0.015769270671231454
lincomycin,0.2184873949579832,0.6296296296296297,0.41114223467164646
linezolid,0.06722689075630252,0.09876543209876543,0.03153854134246291
lividomycin,0.0,0.06172839506172839,0.06172839506172839
lomefloxacin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
madumycin II,0.05042016806722689,0.48148148148148145,0.4310613134142546
mafenide,0.0,0.012345679012345678,0.012345679012345678
metronidazole,0.4369747899159664,0.5308641975308642,0.09388940761489784
microcin J25,0.10084033613445378,0.037037037037037035,-0.06380329909741675
minocycline,0.7394957983193278,0.8641975308641975,0.12470173254486971
moxifloxacin,0.03361344537815126,0.04938271604938271,0.015769270671231454
mupirocin,0.008403361344537815,0.024691358024691357,0.016287996680153544
nalidixic acid,0.2689075630252101,0.20987654320987653,-0.05903101981533354
neomycin,0.14285714285714285,0.16049382716049382,0.01763668430335097
netilmicin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
nitrofurantoin,0.008403361344537815,0.0,-0.008403361344537815
norfloxacin,0.2689075630252101,0.2222222222222222,-0.04668534080298786
novobiocin,0.24369747899159663,0.1728395061728395,-0.07085797281875714
ofloxacin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
oleandomycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
ostreogrycin B3,0.05042016806722689,0.48148148148148145,0.4310613134142546
oxacillin,0.25210084033613445,0.2222222222222222,-0.029878618113912236
oxytetracycline,0.7394957983193278,0.8641975308641975,0.12470173254486971
paromomycin,0.0,0.06172839506172839,0.06172839506172839
patricin A,0.05042016806722689,0.48148148148148145,0.4310613134142546
patricin B,0.05042016806722689,0.48148148148148145,0.4310613134142546
pefloxacin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
penicillin,0.03361344537815126,0.037037037037037035,0.003423591658885776
piperacillin,0.2184873949579832,0.1728395061728395,-0.0456478887851437
polymyxin B,0.25210084033613445,0.18518518518518517,-0.06691565515094927
polymyxin B1,0.2184873949579832,0.1728395061728395,-0.0456478887851437
polymyxin B2,0.2184873949579832,0.1728395061728395,-0.0456478887851437
polymyxin B3,0.2184873949579832,0.1728395061728395,-0.0456478887851437
polymyxin B4,0.2184873949579832,0.1728395061728395,-0.0456478887851437
pristinamycin IA,0.05042016806722689,0.48148148148148145,0.4310613134142546
pristinamycin IB,0.05042016806722689,0.48148148148148145,0.4310613134142546
pristinamycin IC,0.05042016806722689,0.48148148148148145,0.4310613134142546
pulvomycin,0.11764705882352941,0.07407407407407407,-0.04357298474945534
puromycin,0.2689075630252101,0.19753086419753085,-0.07137669882767922
quinupristin,0.05042016806722689,0.48148148148148145,0.4310613134142546
ribostamycin,0.0,0.06172839506172839,0.06172839506172839
rifampin,0.3865546218487395,0.30864197530864196,-0.07791264654009755
roxithromycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
sisomicin,0.008403361344537815,0.012345679012345678,0.0039423176678078636
sparfloxacin,0.008403361344537815,0.04938271604938271,0.0409793547048449
spectinomycin,0.2184873949579832,0.18518518518518517,-0.03330220977279802
spiramycin,0.05042016806722689,0.48148148148148145,0.4310613134142546
streptomycin,0.2605042016806723,0.30864197530864196,0.04813777362796967
