antibiotic,Rural,Urban,diff
clarithromycin,0.050420168,0.481481481,0.431061313
clindamycin,0.050420168,0.481481481,0.431061313
dalfopristin,0.050420168,0.481481481,0.431061313
dirithromycin,0.050420168,0.481481481,0.431061313
oleandomycin,0.050420168,0.481481481,0.431061313
ostreogrycin B3,0.050420168,0.481481481,0.431061313
pristinamycin IB,0.050420168,0.481481481,0.431061313
lincomycin,0.218487395,0.62962963,0.411142235
erythromycin,0.302521008,0.592592593,0.290071584
azithromycin,0.260504202,0.543209877,0.282705675
benzalkonium chloride,0.285714286,0.481481481,0.195767196
chlortetracycline,0.739495798,0.864197531,0.124701733
demeclocycline,0.739495798,0.864197531,0.124701733
minocycline,0.739495798,0.864197531,0.124701733
oxytetracycline,0.739495798,0.864197531,0.124701733
tetracycline,0.831932773,0.950617284,0.118684511
metronidazole,0.43697479,0.530864198,0.093889408
doxycycline,0.773109244,0.864197531,0.091088287
butirosin,0,0.061728395,0.061728395
gentamicin B,0,0.061728395,0.061728395
isepamicin,0,0.061728395,0.061728395
lividomycin,0,0.061728395,0.061728395
paromomycin,0,0.061728395,0.061728395
ribostamycin,0,0.061728395,0.061728395
teicoplanin,0.907563025,0.962962963,0.055399938
streptomycin,0.260504202,0.308641975,0.048137774
gatifloxacin,0.008403361,0.049382716,0.040979355
sparfloxacin,0.008403361,0.049382716,0.040979355
chloramphenicol,0.344537815,0.382716049,0.038178234
cephaloridine,0,0.037037037,0.037037037
florfenicol,0.067226891,0.098765432,0.031538541
linezolid,0.067226891,0.098765432,0.031538541
ceftolozane,0,0.024691358,0.024691358
cefuroxime,0,0.024691358,0.024691358
streptothricin,0,0.024691358,0.024691358
tiamulin,0,0.024691358,0.024691358
amikacin,0.151260504,0.172839506,0.021579002
thiamphenicol,0.016806723,0.037037037,0.020230314
gentamicin,0.226890756,0.24691358,0.020022824
bacitracin,0.067226891,0.086419753,0.019192862
bacitracin A,0.067226891,0.086419753,0.019192862
bacitracin B,0.067226891,0.086419753,0.019192862
bacitracin F,0.067226891,0.086419753,0.019192862
neomycin,0.142857143,0.160493827,0.017636684
mupirocin,0.008403361,0.024691358,0.016287997
levofloxacin,0.033613445,0.049382716,0.015769271
moxifloxacin,0.033613445,0.049382716,0.015769271
tigecycline,0.268907563,0.283950617,0.015043054
amoxicillin,0,0.012345679,0.012345679
mafenide,0,0.012345679,0.012345679
sulfacetamide,0,0.012345679,0.012345679
sulfadiazine,0,0.012345679,0.012345679
sulfadimidine,0,0.012345679,0.012345679
sulfadoxine,0,0.012345679,0.012345679
sulfamethizole,0,0.012345679,0.012345679
sulfamethoxazole,0,0.012345679,0.012345679
sulfasalazine,0,0.012345679,0.012345679
sulfisoxazole,0,0.012345679,0.012345679
2'-N-ethylnetilmicin,0.008403361,0.012345679,0.003942318
5-episisomicin,0.008403361,0.012345679,0.003942318
dibekacin,0.008403361,0.012345679,0.003942318
grepafloxacin,0.008403361,0.012345679,0.003942318
lomefloxacin,0.008403361,0.012345679,0.003942318
netilmicin,0.008403361,0.012345679,0.003942318
ofloxacin,0.008403361,0.012345679,0.003942318
pefloxacin,0.008403361,0.012345679,0.003942318
sisomicin,0.008403361,0.012345679,0.003942318
trovafloxacin,0.008403361,0.012345679,0.003942318
penicillin,0.033613445,0.037037037,0.003423592
vancomycin,1,1,0
azidamfenicol,0.016806723,0.012345679,-0.004461044
cefoxitin,0.008403361,0,-0.008403361
nitrofurantoin,0.008403361,0,-0.008403361
cefotaxime,0.210084034,0.197530864,-0.012553169
defensin,0.016806723,0,-0.016806723
trimethoprim,0.268907563,0.24691358,-0.021993983
cefaclor,0.210084034,0.185185185,-0.024898848
cefdinir,0.210084034,0.185185185,-0.024898848
cefditoren,0.210084034,0.185185185,-0.024898848
gemifloxacin,0.025210084,0,-0.025210084
tobramycin,0.235294118,0.209876543,-0.025417574
cloxacillin,0.25210084,0.222222222,-0.029878618
oxacillin,0.25210084,0.222222222,-0.029878618
kanamycin A,0.218487395,0.185185185,-0.03330221
spectinomycin,0.218487395,0.185185185,-0.03330221
ticarcillin,0.218487395,0.185185185,-0.03330221
pulvomycin,0.117647059,0.074074074,-0.043572985
cefepime,0.218487395,0.172839506,-0.045647889
chlorhexidine,0.218487395,0.172839506,-0.045647889
ertapenem,0.218487395,0.172839506,-0.045647889
gentamicin C,0.218487395,0.172839506,-0.045647889
imipenem,0.218487395,0.172839506,-0.045647889
piperacillin,0.218487395,0.172839506,-0.045647889
polymyxin B1,0.218487395,0.172839506,-0.045647889
polymyxin B2,0.218487395,0.172839506,-0.045647889
polymyxin B3,0.218487395,0.172839506,-0.045647889
polymyxin B4,0.218487395,0.172839506,-0.045647889
norfloxacin,0.268907563,0.222222222,-0.046685341
ceftriaxone,0.235294118,0.185185185,-0.050108932
ceftazidime,0.260504202,0.209876543,-0.050627658
colistin A,0.243697479,0.185185185,-0.058512294
colistin B,0.243697479,0.185185185,-0.058512294
ampicillin,0.268907563,0.209876543,-0.05903102
cefalotin,0.268907563,0.209876543,-0.05903102
nalidixic acid,0.268907563,0.209876543,-0.05903102
triclosan,0.268907563,0.209876543,-0.05903102
microcin J25,0.100840336,0.037037037,-0.063803299
polymyxin B,0.25210084,0.185185185,-0.066915655
fosfomycin,0.168067227,0.098765432,-0.069301795
novobiocin,0.243697479,0.172839506,-0.070857973
acriflavine,0.268907563,0.197530864,-0.071376699
enrofloxacin,0.268907563,0.197530864,-0.071376699
puromycin,0.268907563,0.197530864,-0.071376699
enoxacin,0.109243697,0.037037037,-0.07220666
ciprofloxacin,0.285714286,0.209876543,-0.075837743
rifampin,0.386554622,0.308641975,-0.077912647
