antibiotic,36703_3#1,36703_3#10,36703_3#12,36703_3#13,36703_3#14,36703_3#15,36703_3#16,36703_3#17,36703_3#18,36703_3#19,36703_3#2,36703_3#21,36703_3#22,36703_3#23,36703_3#24,36703_3#25,36703_3#26,36703_3#27,36703_3#28,36703_3#29,36703_3#3,36703_3#30,36703_3#31,36703_3#32,36703_3#4,36703_3#5,36703_3#6,36703_3#7,36703_3#8,36703_3#9,37035_1#1,37035_1#10,37035_1#11,37035_1#12,37035_1#13,37035_1#14,37035_1#15,37035_1#16,37035_1#17,37035_1#18,37035_1#19,37035_1#2,37035_1#20,37035_1#21,37035_1#22,37035_1#23,37035_1#24,37035_1#25,37035_1#26,37035_1#27,37035_1#29,37035_1#3,37035_1#30,37035_1#31,37035_1#32,37035_1#4,37035_1#5,37035_1#6,37035_1#7,37035_1#8,37035_1#9,37035_2#1,37035_2#10,37035_2#11,37035_2#12,37035_2#13,37035_2#14,37035_2#15,37035_2#16,37035_2#17,37035_2#18,37035_2#19,37035_2#2,37035_2#20,37035_2#21,37035_2#22,37035_2#23,37035_2#24,37035_2#25,37035_2#26,37035_2#27,37035_2#28,37035_2#29,37035_2#3,37035_2#30,37035_2#31,37035_2#32,37035_2#4,37035_2#5,37035_2#6,37035_2#7,37035_2#8,37035_2#9,37035_7#1,37035_7#10,37035_7#11,37035_7#12,37035_7#13,37035_7#14,37035_7#15,37035_7#16,37035_7#17,37035_7#18,37035_7#19,37035_7#2,37035_7#20,37035_7#21,37035_7#22,37035_7#23,37035_7#24,37035_7#25,37035_7#3,37035_7#4,37035_7#5,37035_7#6,37035_7#7,37035_7#8,37035_7#9,37082_1#10,37082_1#11,37082_1#12,37082_1#13,37082_1#14,37082_1#15,37082_1#16,37082_1#17,37082_1#18,37082_1#19,37082_1#20,37082_1#21,37082_1#22,37082_1#23,37082_1#24,37082_1#25,37082_1#26,37082_1#27,37082_1#28,37082_1#29,37082_1#30,37082_1#31,37082_1#32,37082_1#9,37082_2#1,37082_2#10,37082_2#11,37082_2#12,37082_2#13,37082_2#14,37082_2#15,37082_2#16,37082_2#17,37082_2#18,37082_2#19,37082_2#2,37082_2#20,37082_2#21,37082_2#22,37082_2#23,37082_2#24,37082_2#25,37082_2#26,37082_2#27,37082_2#28,37082_2#29,37082_2#3,37082_2#30,37082_2#31,37082_2#32,37082_2#4,37082_2#6,37082_2#7,37082_2#8,37082_2#9,37082_3#1,37082_3#10,37082_3#11,37082_3#12,37082_3#13,37082_3#14,37082_3#15,37082_3#17,37082_3#18,37082_3#19,37082_3#2,37082_3#20,37082_3#21,37082_3#22,37082_3#23,37082_3#24,37082_3#25,37082_3#26,37082_3#27,37082_3#28,37082_3#29,37082_3#3,37082_3#30,37082_3#31,37082_3#32,37082_3#4,37082_3#5,37082_3#6,37082_3#7,37082_3#8,37082_3#9
aminocoumarin antibiotic,0,0,3,0,0,0,0,0,1,0,3,0,0,0,3,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4
aminoglycoside antibiotic,0,0,5,0,0,0,0,0,4,1,6,0,0,0,4,4,1,0,0,0,0,4,0,0,0,1,0,4,0,0,0,4,4,5,5,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,5,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,7,6,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,3,0,4,0,0,0,0,0,4,0,5,1,0,5,0,0,0,0,0,0,0,5,1,0,1,0,1,0,3,0,6,1,3,0,0,0,1,0,0,3,4,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,2,0,2,0,0,2,8,0,0,0,0,0,0,0,0,4
carbapenem,0,0,2,0,0,0,0,0,2,0,2,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,2,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,2,6,0,0,1,0,0,0,0,0,2
cephalosporin,0,0,10,0,0,0,0,0,13,0,8,0,0,0,12,11,5,0,0,0,0,7,0,0,0,3,0,8,0,0,0,9,10,10,10,0,0,0,7,9,0,0,0,0,0,10,0,0,0,0,9,9,0,0,0,11,0,11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,11,0,0,0,10,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,11,0,8,0,0,0,0,0,11,0,10,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,11,0,11,0,0,0,0,0,0,9,8,0,8,0,0,7,0,0,0,0,0,10,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,5,0,7,0,0,3,18,0,0,0,0,1,0,0,0,10
cephamycin,0,0,5,0,0,0,0,0,7,0,3,1,0,0,5,5,3,1,0,0,0,5,0,0,0,1,0,4,0,1,0,3,5,5,4,0,1,0,5,4,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,4,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,4,6,0,0,0,2,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,6,0,4,0,0,0,1,0,5,0,5,0,0,3,1,0,0,1,0,0,0,6,0,0,0,0,1,0,3,0,6,0,5,0,0,0,1,0,0,4,3,0,5,0,0,2,0,0,0,0,0,4,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,2,0,0,2,8,0,0,1,1,0,0,0,0,4
diaminopyrimidine antibiotic,0,0,1,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1
disinfecting agents and antiseptics,2,0,11,0,0,0,0,0,13,0,10,0,0,0,15,10,8,0,0,0,0,11,0,0,0,3,0,9,0,1,0,11,11,11,11,0,0,0,7,9,0,0,0,0,0,11,0,0,0,0,11,10,1,0,0,12,0,14,0,0,0,0,0,2,0,1,1,0,1,0,1,2,0,0,0,1,11,0,0,0,13,7,0,3,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,11,0,11,0,0,0,0,0,13,1,13,1,0,12,1,0,1,0,1,0,0,16,0,1,1,1,0,0,11,1,15,1,12,0,0,0,0,1,0,11,10,0,8,2,0,6,0,0,0,0,0,9,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,14,0,6,1,6,0,1,5,18,0,0,1,0,0,0,0,0,12
elfamycin antibiotic,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
fluoroquinolone antibiotic,1,1,14,0,0,0,1,0,16,0,11,0,0,0,17,13,8,0,0,0,0,9,0,0,0,5,0,16,0,3,0,9,10,11,14,0,0,0,11,8,0,0,0,0,0,11,2,0,0,0,14,11,0,0,0,13,0,15,0,0,0,0,1,8,0,3,1,4,1,1,2,4,2,5,2,0,15,1,0,0,15,8,2,2,0,3,4,10,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,13,1,0,0,10,0,10,0,0,0,0,0,15,0,19,0,0,10,0,0,0,0,0,2,0,17,1,0,1,0,0,0,11,1,15,1,16,0,0,1,0,0,0,10,9,0,9,1,0,7,0,0,0,0,0,8,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,14,0,4,0,6,0,1,7,23,0,0,2,0,2,0,0,0,12
glycopeptide antibiotic,36,20,42,20,4,24,27,11,10,14,28,44,27,36,16,3,15,27,3,9,11,18,3,8,13,17,8,12,60,51,28,8,10,18,8,44,14,30,15,23,10,22,8,26,9,3,31,41,12,11,52,37,19,19,31,10,18,12,15,8,18,43,20,29,50,9,63,19,62,24,15,24,47,13,41,4,20,25,25,7,18,55,8,32,14,18,27,16,32,24,38,37,25,14,28,1,15,6,8,3,20,23,22,25,8,7,4,12,8,17,25,10,22,5,10,9,9,4,40,33,19,24,35,42,41,32,34,20,46,27,10,25,25,8,52,34,13,18,48,25,45,28,7,30,24,14,32,38,55,33,17,19,8,30,14,22,23,33,27,10,24,28,23,29,45,11,12,33,3,24,22,21,30,22,32,2,25,22,32,19,10,11,27,34,8,32,12,24,17,8,32,21,14,15,13,27,31,38,23,10,36,32,30,8
