SampleID,Taxon,BHC,BHC percent within sample,Lifestyle,Index
36703_3#10,Streptococcus,5.751884223451542,2.3934205637211208,Urban,T2
36703_3#12,Streptococcus,1.5095497311791721,0.9365495459391989,Rural,T2
36703_3#13,Streptococcus,0.7413252373588111,0.30617808848870587,Rural,T2
36703_3#14,Streptococcus,0.1418296194909463,0.05702670378767678,Rural,T2
36703_3#15,Streptococcus,0.8472483796622913,0.38320601233295065,Rural,T2
36703_3#16,Streptococcus,0.2338042418563162,0.1581727699818767,Rural,T2
36703_3#17,Streptococcus,0.4395796544678869,0.43605316935197946,Rural,T2
36703_3#18,Streptococcus,0.3546614849711694,0.17419854374500868,Rural,T2
36703_3#19,Streptococcus,2.531510724173165,1.2582511537461323,Rural,T2
36703_3#1,Streptococcus,7.198644895308078,2.015049536423846,Urban,T2
36703_3#21,Streptococcus,0.046526708994131624,0.031490790187146116,Rural,T2
36703_3#22,Streptococcus,0.32541995471552515,0.310579144867321,Rural,T2
36703_3#23,Streptococcus,0.1481932475420933,0.11515731568606412,Rural,T2
36703_3#24,Streptococcus,0.25439763467791354,0.23140869894612975,Rural,T2
36703_3#25,Streptococcus,1.0490533832987823,0.7825764387980314,Rural,T2
36703_3#26,Streptococcus,0.0328125804317572,0.018286686708380157,Rural,T2
36703_3#27,Streptococcus,0.6644894612298629,0.5658572891512061,Rural,T2
36703_3#28,Streptococcus,0.04527684903966065,0.03388245652571765,Rural,T2
36703_3#29,Streptococcus,0.09218669878989671,0.08991566409608047,Rural,T2
36703_3#2,Streptococcus,10.140701616136846,4.167010403455706,Urban,T2
36703_3#30,Streptococcus,0.6504298069548035,0.5614381590858256,Rural,T2
36703_3#31,Streptococcus,1.1678395898579896,1.0817224663213043,Rural,T2
36703_3#32,Streptococcus,0.007329791717483018,0.005787685622196058,Rural,T2
36703_3#3,Streptococcus,1.6443960323141005,0.4767375666951472,Urban,T2
36703_3#5,Streptococcus,0.00023290552828951068,0.00013046308143050265,Urban,T2
36703_3#6,Streptococcus,0.011709765859527266,0.010121455768548875,Urban,T2
36703_3#7,Streptococcus,2.8449107822913464,0.679300567939565,Urban,T2
36703_3#8,Streptococcus,10.590703198014493,2.6427005820489273,Urban,T2
36703_3#9,Streptococcus,6.989876504528406,2.016573429693293,Urban,T2
37035_1#10,Streptococcus,0.03917386181215745,0.043140324037657204,Rural,T2
37035_1#11,Streptococcus,0.0053358815361345185,0.004993383581592024,Rural,T2
37035_1#12,Streptococcus,0.2586222617490098,0.2371031312176154,Rural,T2
37035_1#13,Streptococcus,0.1134617447007358,0.16199385579641437,Rural,T2
37035_1#14,Streptococcus,2.381641202712648,2.237812404854534,Rural,T2
37035_1#15,Streptococcus,1.4737079398423931,0.7209153331091132,Rural,T2
37035_1#16,Streptococcus,0.13583317937465805,0.1477425626780545,Rural,T2
37035_1#17,Streptococcus,0.029444627677379133,0.039549790904574764,Rural,T2
37035_1#18,Streptococcus,0.9235821368414409,0.7034961714716409,Rural,T2
37035_1#1,Streptococcus,0.1721240459708087,0.0929801978988038,Rural,T2
37035_1#20,Streptococcus,2.2155771186089,1.8697241384083851,Rural,T2
37035_1#21,Streptococcus,1.1316359948523678,0.5815074463301467,Rural,T2
37035_1#22,Streptococcus,0.24738796072790797,0.09915684789268837,Rural,T2
37035_1#23,Streptococcus,0.24893771500067707,0.18268871996887265,Rural,T2
37035_1#24,Streptococcus,0.7190922172975718,0.44193067558452853,Rural,T2
37035_1#25,Streptococcus,0.009713760582272428,0.010079938529375533,Rural,T2
37035_1#26,Streptococcus,1.6897109124397673,1.8268398282541867,Rural,T2
37035_1#27,Streptococcus,2.855533243099584,2.962755764814526,Rural,T2
37035_1#29,Streptococcus,3.5090242723583303,1.2617224338875652,Urban,T2
37035_1#2,Streptococcus,0.016327338701689148,0.007967845615335136,Rural,T2
37035_1#30,Streptococcus,2.6720873256346653,1.0885977886017242,Urban,T2
37035_1#31,Streptococcus,10.325921461371738,3.970336807581992,Urban,T2
37035_1#32,Streptococcus,8.72040486478546,5.485717915564766,Urban,T2
37035_1#3,Streptococcus,0.07968131990829636,0.03205911444153674,Rural,T2
37035_1#4,Streptococcus,0.4959313918160623,0.29178123182794197,Rural,T2
37035_1#5,Streptococcus,0.6140506821393545,0.44617106069155743,Rural,T2
37035_1#6,Streptococcus,0.10243662629087148,0.0461490546409036,Rural,T2
37035_1#7,Streptococcus,0.019820768009865604,0.025412910075917217,Rural,T2
37035_1#8,Streptococcus,1.8715526834795793,0.6576886026868398,Rural,T2
37035_1#9,Streptococcus,0.2193099915967189,0.1032246279313131,Rural,T2
37035_2#10,Streptococcus,0.08128131744323973,0.023979024920128877,Urban,T2
37035_2#11,Streptococcus,5.888467595770388,2.229944766211208,Urban,T2
37035_2#12,Streptococcus,9.50296365495383,3.6841154934496063,Urban,T2
37035_2#13,Streptococcus,5.1686847541570575,1.7384122187378714,Urban,T2
37035_2#14,Streptococcus,6.559053809362642,3.1430651141028285,Urban,T2
37035_2#15,Streptococcus,14.690631493806677,3.182218271885753,Urban,T2
37035_2#16,Streptococcus,10.2100263099122,2.6568665250199412,Urban,T2
37035_2#17,Streptococcus,0.7276235213689174,0.2181317183581285,Urban,T2
37035_2#18,Streptococcus,18.57749893648676,4.792555864007741,Urban,T2
37035_2#19,Streptococcus,12.238140418142798,3.1300226478029423,Urban,T2
37035_2#1,Streptococcus,5.474021985385544,1.3949646024404092,Urban,T2
