Index,Lifestyle,Taxon,Mean BHC,Median BHC,BHC standard deviation,Mean sample BHC percent,Population BHC percent
Combined,Rural,Actinomyces,0.01258748917500983,0.006811517026165885,0.014268443796188992,0.7628633042487784,0.6727750572272747
Combined,Rural,Agathobacter,0.012391188251701398,0.004745753581887636,0.022326107728684798,0.6136115007326547,0.6622831820743816
Combined,Rural,Agathobaculum,0.010804952070347972,0.00555903169084969,0.016566563191668493,0.5908970909553418,0.5775021647604032
Combined,Rural,Akkermansia,0.013339980410575963,0.002849562076263517,0.02640031535744137,0.6609401297733121,0.7129941451670768
Combined,Rural,Alistipes,0.012297667979343943,0.003372937948023303,0.021225741223758154,0.5883100840631924,0.6572847184640128
Combined,Rural,Anaerostipes,0.013121145518186434,0.0064368280899997745,0.017603719571124363,0.7129701468832252,0.7012978763398526
Combined,Rural,Anaerotignum,0.013402252422853736,0.007832429404396815,0.021590277754359326,0.706680265875729,0.7163224544145645
Combined,Rural,Anthropogastromicrobium,0.012971413833864588,0.007000764030101056,0.01675077365679557,0.6881451738674668,0.6932950299351575
Combined,Rural,Bacteroides,0.012320395690279502,0.005079189761285051,0.02261330929542737,0.6205095256201069,0.6584994672366015
Combined,Rural,Barnesiella,0.012093362338479515,0.00277251777402304,0.0307175054970416,0.561127081504597,0.6463650078439388
Combined,Rural,Bifidobacterium,0.012846141079601806,0.004949070867609452,0.018436877170508653,0.692002198219395,0.6865994623563997
Combined,Rural,Bilophila,0.01248133631707442,0.003127683771562154,0.04224662486957991,0.5640448955051929,0.6671014082509468
Combined,Rural,Brotocaccenecus,0.012768186498031884,0.005627633084329225,0.019862171977097248,0.6915041195486245,0.6824329524712548
Combined,Rural,Butyricicoccus,0.012633863480314695,0.007350955746551839,0.015670273135996657,0.6520902360784306,0.6752536671765327
Combined,Rural,Butyricimonas,0.012585245888642361,0.002217978900027145,0.03532893378337793,0.5680017062820817,0.6726551582471629
Combined,Rural,Candidatus Cibionibacter,0.013432361613897706,0.003815657294993549,0.027969361399195678,0.7274424370332494,0.7179317279119265
Combined,Rural,Catenibacterium,0.011721395504276701,0.003102636180190413,0.020347628149953993,0.5934163214761337,0.6264841559370891
Combined,Rural,Clostridium,0.012498820142003928,0.003559633641696632,0.03530807604152122,0.6238650059016049,0.6680358822476239
Combined,Rural,Coprococcus,0.012626349946758222,0.005489777636296297,0.02204059688403941,0.7403701144538712,0.6748520844702316
Combined,Rural,Dysosmobacter,0.011763721205669885,0.0052485822676166674,0.016495621230902986,0.6403287737611596,0.6287463764467612
Combined,Rural,Ellagibacter,0.011165438528285129,0.004289958035126626,0.017347462812819073,0.5665601803575553,0.5967694144872049
Combined,Rural,Enterococcus,0.013533791143362199,0.007677318235674952,0.01659254031599911,0.7819453267868496,0.7233529248274708
Combined,Rural,Eubacterium,0.013596625444442494,0.004503346679163784,0.021720892173668942,0.8490961678786346,0.7267112872393374
Combined,Rural,Faecalibacterium,0.01179739037121898,0.004278156401331468,0.03232149640273357,0.6034861187509628,0.6305459231604981
Combined,Rural,Faecalicatena,0.011952868891724715,0.004747873192430137,0.017067168821311544,0.5879269382368687,0.6388559259796882
Combined,Rural,Flavonifractor,0.012261698201446885,0.001786427133835824,0.05151183325629635,0.4762756589699597,0.6553622088160054
Combined,Rural,Fusicatenibacter,0.01191294551527497,0.004765885787276657,0.02233323837954887,0.57426745888301,0.6367221047304905
Combined,Rural,GGB115571,0.012881459453831796,0.007755519703287635,0.014605193453327867,0.7488069823249146,0.6884871558362821
Combined,Rural,GGB1239,0.011294543743217565,0.004665314571109018,0.01784011759151781,0.6026904765846504,0.6036698190998222
Combined,Rural,GGB1247,0.012834332631486998,0.00827262321792545,0.014062834285344713,0.7159691314945775,0.6859683254198946
Combined,Rural,GGB1266,0.01307069856372956,0.008773659099723245,0.014914989493880952,0.7553203027476342,0.6986015917830368
Combined,Rural,GGB13404,0.012921106131916106,0.004024708127425679,0.01966355329487622,0.671947303467041,0.6906061881346374
Combined,Rural,GGB143455,0.011929125029192564,0.004504020850186564,0.01741029276261879,0.6454725202800001,0.6375868660224747
Combined,Rural,GGB143497,0.012008651324217063,0.005821992333501447,0.017544961385587532,0.6265974734118301,0.6418373807154606
Combined,Rural,GGB1495,0.012512087456752419,0.0062156864144208715,0.016276517157953203,0.6108880305008715,0.6687449925646273
Combined,Rural,GGB1627,0.012020461103304259,0.004951762034415286,0.018013702783557465,0.6482307049909557,0.6424685887896652
Combined,Rural,GGB3109,0.011586911060851763,0.0033768722146706918,0.059086411864800334,0.5234715011409071,0.6192962427747868
Combined,Rural,GGB3118,0.012907173930004321,0.005893650332050966,0.018661491262985656,0.6808271922442756,0.6898615409847424
Combined,Rural,GGB3189,0.013531169895098385,0.0056054056618888536,0.016235874837563058,0.7719473960564552,0.7232128245718776
Combined,Rural,GGB3304,0.012159504163173407,0.004372660691384221,0.018253928749945462,0.6654690385530843,0.6499001504982733
Combined,Rural,GGB3306,0.011538878791312289,0.004792954473631937,0.01796322921223919,0.6018972031724691,0.6167290180932885
Combined,Rural,GGB3321,0.012550244727387385,0.006509389576025181,0.016081933554902155,0.7005501167939678,0.6707844191395507
