Experiment,Seed,Treatment,Index,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,Selected features
1,7,With CLR,Combined,0.9236857615986978,0.9388179388179388,0.9099999999999999,0.9132275132275133,0.9112379280070237,0.9116137566137565,188.6
1,7,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,188.6
1,7,With CLR,T2,0.9080880244770985,0.9507859014050964,0.8699999999999999,0.9346560846560846,0.8963564530289728,0.9023280423280424,188.6
1,7,Without compositional treatment,Combined,0.9214278347857474,0.8627070393374741,0.99,0.7690476190476191,0.8995610184372257,0.8795238095238094,80.8
1,7,Without compositional treatment,Q,0.900375727772988,0.9726022673391095,0.8400000000000001,0.9634920634920634,0.8905179982440737,0.9017460317460317,80.8
1,7,Without compositional treatment,T2,0.9387945720667851,0.8933569625091258,0.99,0.8269841269841269,0.9232221246707638,0.9084920634920636,80.8
2,21,With CLR,Combined,0.9284333472434738,0.9396068843437264,0.9199999999999999,0.9132275132275133,0.9169885864793679,0.9166137566137567,190.2
2,21,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,190.2
2,21,With CLR,T2,0.9198066554754616,0.9426482873851295,0.9,0.9203703703703704,0.9080772607550482,0.9101851851851851,190.2
2,21,Without compositional treatment,Combined,0.9301917074736548,0.8784235714697572,0.99,0.798148148148148,0.9114135206321334,0.8940740740740741,87.4
2,21,Without compositional treatment,Q,0.8985432098765432,0.9562587108013938,0.85,0.942063492063492,0.8874012291483758,0.8960317460317461,87.4
2,21,Without compositional treatment,T2,0.9388483683591943,0.8936582494241392,0.99,0.8269841269841269,0.9232221246707638,0.9084920634920636,87.4
3,42,With CLR,Combined,0.9290828924162258,0.9337442320369149,0.925,0.9058201058201059,0.9172519754170325,0.9154100529100528,188.2
3,42,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,188.2
3,42,With CLR,T2,0.9180692724996522,0.937082831819674,0.9,0.9132275132275133,0.9054433713784021,0.9066137566137566,188.2
3,42,Without compositional treatment,Combined,0.9238197448638685,0.8669473568144663,0.99,0.7764550264550264,0.9025460930640913,0.8832275132275133,84.8
3,42,Without compositional treatment,Q,0.9149055464525151,0.972264598146951,0.865,0.9634920634920634,0.9053555750658472,0.9142460317460317,84.8
3,42,Without compositional treatment,T2,0.9363143875881772,0.893156146179402,0.985,0.8267195767195767,0.9201931518876207,0.9058597883597883,84.8
4,84,With CLR,Combined,0.9342631434635139,0.9398350345718767,0.93,0.9132275132275133,0.9229587357330992,0.9216137566137567,186.6
4,84,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,186.6
4,84,With CLR,T2,0.9054065394065394,0.9454695960887911,0.8699999999999999,0.9275132275132275,0.8932835820895523,0.8987566137566138,186.6
4,84,Without compositional treatment,Combined,0.9305681946576495,0.8748652241548263,0.9949999999999999,0.7907407407407407,0.9114135206321334,0.8928703703703704,83.4
4,84,Without compositional treatment,Q,0.893829892289878,0.9711025311025312,0.8300000000000001,0.9634920634920634,0.8844161545215101,0.8967460317460316,83.4
