Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
Without compositional treatment,T2,83,0.9195402298850575,0.851063829787234,1.0,0.75,0.8970588235294118,0.875,40,7,21,0,1,1,7,338,202,0.0005
Without compositional treatment,Q,83,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,1,1,7,338,202,0.0005
Without compositional treatment,Combined,83,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,1,7,338,202,0.0005
With CLR,T2,188,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,1,1,7,338,202,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,1,7,338,202,0.0005
With CLR,Combined,188,0.926829268292683,0.9047619047619048,0.95,0.8571428571428571,0.9117647058823529,0.9035714285714285,38,4,24,2,1,1,7,338,202,0.0005
Without compositional treatment,T2,85,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,2,1,7,338,202,0.0005
Without compositional treatment,Q,85,0.8888888888888888,1.0,0.8,1.0,0.8823529411764706,0.9,32,0,28,8,2,1,7,338,202,0.0005
Without compositional treatment,Combined,85,0.9302325581395349,0.8695652173913043,1.0,0.7857142857142857,0.9117647058823529,0.8928571428571428,40,6,22,0,2,1,7,338,202,0.0005
With CLR,T2,189,0.8947368421052632,0.9444444444444444,0.85,0.9285714285714286,0.8823529411764706,0.8892857142857142,34,2,26,6,2,1,7,338,202,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,1,7,338,202,0.0005
With CLR,Combined,189,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,2,1,7,338,202,0.0005
Without compositional treatment,T2,80,0.9069767441860465,0.8478260869565217,0.975,0.75,0.8823529411764706,0.8625,39,7,21,1,3,1,7,338,202,0.0005
Without compositional treatment,Q,80,0.9041095890410958,1.0,0.825,1.0,0.8970588235294118,0.9125,33,0,28,7,3,1,7,338,202,0.0005
Without compositional treatment,Combined,80,0.8863636363636364,0.8125,0.975,0.6785714285714286,0.8529411764705882,0.8267857142857142,39,9,19,1,3,1,7,338,202,0.0005
With CLR,T2,189,0.9210526315789473,0.9722222222222222,0.875,0.9642857142857143,0.9117647058823529,0.9196428571428572,35,1,27,5,3,1,7,338,202,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,1,7,338,202,0.0005
