Treatment,Index,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold
Without compositional treatment,T2,0.7368421052631579,0.6666666666666666,0.8235294117647058,0.6956521739130435,0.75,0.7595907928388747,14,7,16,3,1
Without compositional treatment,Q,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.782608695652174,0.8,0.80306905370844,14,5,18,3,1
Without compositional treatment,Combined,0.717948717948718,0.6363636363636364,0.8235294117647058,0.6521739130434783,0.725,0.7378516624040921,14,8,15,3,1
With CLR,T2,1.0,1.0,1.0,1.0,1.0,1.0,17,0,23,0,1
With CLR,Q,0.0,0.0,0.0,1.0,0.575,0.5,0,0,23,17,1
With CLR,Combined,1.0,1.0,1.0,1.0,1.0,1.0,17,0,23,0,1
Without compositional treatment,T2,0.7027027027027027,0.65,0.7647058823529411,0.6956521739130435,0.725,0.7301790281329923,13,7,16,4,2
Without compositional treatment,Q,0.7428571428571429,0.7222222222222222,0.7647058823529411,0.782608695652174,0.775,0.7736572890025575,13,5,18,4,2
Without compositional treatment,Combined,0.6666666666666666,0.5909090909090909,0.7647058823529411,0.6086956521739131,0.675,0.6867007672634271,13,9,14,4,2
With CLR,T2,0.9375,1.0,0.8823529411764706,1.0,0.95,0.9411764705882353,15,0,23,2,2
With CLR,Q,0.0,0.0,0.0,1.0,0.575,0.5,0,0,23,17,2
With CLR,Combined,0.9375,1.0,0.8823529411764706,1.0,0.95,0.9411764705882353,15,0,23,2,2
Without compositional treatment,T2,0.7567567567567568,0.6666666666666666,0.875,0.7083333333333334,0.775,0.7916666666666667,14,7,17,2,3
Without compositional treatment,Q,0.875,0.875,0.875,0.9166666666666666,0.9,0.8958333333333333,14,2,22,2,3
Without compositional treatment,Combined,0.717948717948718,0.6086956521739131,0.875,0.625,0.725,0.75,14,9,15,2,3
With CLR,T2,0.967741935483871,1.0,0.9375,1.0,0.975,0.96875,15,0,24,1,3
With CLR,Q,0.0,0.0,0.0,1.0,0.6,0.5,0,0,24,16,3
With CLR,Combined,0.967741935483871,1.0,0.9375,1.0,0.975,0.96875,15,0,24,1,3
Without compositional treatment,T2,0.7567567567567568,0.6666666666666666,0.875,0.7083333333333334,0.775,0.7916666666666667,14,7,17,2,4
Without compositional treatment,Q,0.7027027027027027,0.6190476190476191,0.8125,0.6666666666666666,0.725,0.7395833333333333,13,8,16,3,4
Without compositional treatment,Combined,0.7368421052631579,0.6363636363636364,0.875,0.6666666666666666,0.75,0.7708333333333333,14,8,16,2,4
With CLR,T2,0.9375,0.9375,0.9375,0.9583333333333334,0.95,0.9479166666666667,15,1,23,1,4
With CLR,Q,0.0,0.0,0.0,1.0,0.6,0.5,0,0,24,16,4
With CLR,Combined,0.9411764705882353,0.8888888888888888,1.0,0.9166666666666666,0.95,0.9583333333333333,16,2,22,0,4
Without compositional treatment,T2,0.7428571428571429,0.6842105263157895,0.8125,0.7391304347826086,0.7692307692307693,0.7758152173913043,13,6,17,3,5
Without compositional treatment,Q,0.7647058823529411,0.7222222222222222,0.8125,0.782608695652174,0.7948717948717948,0.7975543478260869,13,5,18,3,5
Without compositional treatment,Combined,0.7428571428571429,0.6842105263157895,0.8125,0.7391304347826086,0.7692307692307693,0.7758152173913043,13,6,17,3,5
With CLR,T2,0.967741935483871,1.0,0.9375,1.0,0.9743589743589743,0.96875,15,0,23,1,5
With CLR,Q,0.0,0.0,0.0,1.0,0.5897435897435898,0.5,0,0,23,16,5
With CLR,Combined,0.967741935483871,1.0,0.9375,1.0,0.9743589743589743,0.96875,15,0,23,1,5
