"Index","Lifestyle","Age_group","n","median","q1","q3"
"Observed","Rural","Adulto",58,8297,7838.75,8676
"Observed","Rural","Niño",51,8354,7787,8613
"Observed","Urbano","Adulto",50,7950.5,7431.75,8258.5
"Observed","Urbano","Niño",27,7521,6910.5,7808.5
"Chao1","Rural","Adulto",58,8546.7143244024,8211.39309732241,8868.30128097084
"Chao1","Rural","Niño",51,8607.05489260143,8226.95823851042,8807.83187984496
"Chao1","Urbano","Adulto",50,8254.61349158158,7905.77570349041,8504.56860607805
"Chao1","Urbano","Niño",27,7866.38225255973,7514.64532039817,8158.88614121533
"Shannon","Rural","Adulto",58,3.72801190746855,3.41361768028131,4.32550196744672
"Shannon","Rural","Niño",51,4.06269380154834,3.53923850046296,4.38691658733402
"Shannon","Urbano","Adulto",50,3.9743321248108,3.71459754362905,4.18450869754024
"Shannon","Urbano","Niño",27,3.75842766677646,3.48116200541708,3.99133256088261
