"Index","group_1","group_2","p_value_holm","significance"
"Observed","Urbano - Adulto","Rural - Adulto",0.00476592041365966,"**"
"Observed","Rural - Niño","Rural - Adulto",0.843537492251513,"ns"
"Observed","Urbano - Niño","Rural - Adulto",8.45969588150261e-06,"***"
"Observed","Rural - Niño","Urbano - Adulto",0.0178279970570817,"*"
"Observed","Urbano - Niño","Urbano - Adulto",0.0178279970570817,"*"
"Observed","Urbano - Niño","Rural - Niño",7.19796543886331e-05,"***"
"Chao1","Urbano - Adulto","Rural - Adulto",0.00171818807409116,"**"
"Chao1","Rural - Niño","Rural - Adulto",0.881722711152876,"ns"
"Chao1","Urbano - Niño","Rural - Adulto",1.91818908175782e-06,"***"
"Chao1","Rural - Niño","Urbano - Adulto",0.00389727130000604,"**"
"Chao1","Urbano - Niño","Urbano - Adulto",0.00776276868831325,"**"
"Chao1","Urbano - Niño","Rural - Niño",7.53376746319074e-06,"***"
"Shannon","Urbano - Adulto","Rural - Adulto",1,"ns"
"Shannon","Rural - Niño","Rural - Adulto",0.787524444627242,"ns"
"Shannon","Urbano - Niño","Rural - Adulto",1,"ns"
"Shannon","Rural - Niño","Urbano - Adulto",1,"ns"
"Shannon","Urbano - Niño","Urbano - Adulto",0.193944583657745,"ns"
"Shannon","Urbano - Niño","Rural - Niño",0.300524788250625,"ns"
